synonyymit|hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1|Sarake2|Sarake3|Sarake4|Sarake5|Sarake6|||||
kühläz|kühlähaine|(TP) kühlähä/ine, -izen; -izid|s. dem.||суслончик|kuhilas (pieni)|(TP) kagre rahnotah čirpil liuftehile, pandah kühlähäizile||овёс жнут серпом в снопы, складывают в суслончики|kauraa leikataan sirpillä, pannaan kuhilaille|||||||||||
|baraban|baraban (RKS)|s.|барабан|барабан|rumppu|||||||||||||||
|barb|barb/e, -an, -ad; -uoiden, -uoid|s.|барбэ|прут, вица|varpu, vitsa|(TP) lepäste barbad||ольховой вицы|leppävarpua|||||||||||
|barb||s.||||(V) andan barbal selgaa||дам вицей по спине|lyön varvulla selkään|||||||||||
|||||||||||||||||||||
|bard|bard/e, -an, -ad; -uoiden, -uoid|s.|бардэ|борода|parta; kirveen silmänpielus|||||||||||||||
|bark|bar/k(k)e, -kan (RKS)|s.|баркэ|барка|lotja|||||||||||||||
|bašlik|bašli/kke, -kan, -kkad; -kuoid|s.|башликкэ|башлык|paslikka|||||||||||||||
bašmakad; d’algačim, keng|bašmak|bašma/kke, -kan, -kkad; -kuoid|s.|башмаккэ|башмак|kenkä|||||||||||||||
bašmak; d’algaččimed, kengad|bašmakad|bašma/kad, -kuoid|s. mon.|башмакат|башмаки|kengät|||||||||||||||
|belet|bil'e/tte, -tan (RKS)|s.|билеттэ|билет|lippu|||||||||||||||
|bembel|bembel, -en; (V) bembel'i, -n, -d; -id|s.|бэмбэлъ|дуга|vemmel, luokka|||||||||||||||
vard'oita|beregoita|beregui/ta, -čen, -čin|v.||||bereguičen (RKS)|берегуйчен|берегу|suojelen|||||||||||
|besetk|bes'etk/e, -an, -ad (RKS)|s.|беседкэ|беседка|huvimaja|||||||||||||||
|bes'otk|bes'otk/e, -an, -ad|s.|беседкэ|бесёдка, сиденье (извозчика)|istuinlauta (kuskin)|||||||||||||||
|best|bes'od, -an, -ad|s.|бесёд|бесёда, посиделка|illatsut, iltamat,  illanistujaiset, iltatanssit, tanssiaiset; seurustelu, keskustelu|||||||||||||||
|bied|bied/e, -an, -ad (RKS)|s.|биэдэ|беда|onnettomuus, vahinko, hätä, pula|||||||||||||||
|biegloi|biegloi, -n, -d (RKS)|s.||беглый|sotilaskarkuri|biegloit (RKS)|биэглойт|беглые|pakolaiset|||||||||||
biibal, biiboi|biibaleh|(V) biibaleh|s.||ломоть (хлеба)|viipale (leivän)|||||||||||||||
biibaleh, biiboi|biibal|(V) biibalo|s.||ломоть (хлеба)|viipale (leivän)|||||||||||||||
biibal, biibaleh|biiboi|biiboi|s. dem.||ломоть, ломтик (хлеба)|viipale (leivän)|||||||||||||||
|bies|bies (RKS)|s.|биэс|бес|piessa, pahahenki|||||||||||||||
blied|bliednoi|bl'ednuoi (RKS)|a.|бледнуой|бледный|kalpea|||||||||||||||
|blokk|blo/kke, -kan, -kkad|s.|блоккэ|блок|väkipyörä|||||||||||||||
|bl'uod|bl'uod, -an, -ad|s.|блюодэ|блюдо|vati|||||||||||||||
d'uodaine, blücc|bl'uudečk|bl'uud'ečk/e, -an, -ad|s.|блюдэчкэ|блюдечко, блюдце|teelautanen|||||||||||||||
rikaz|bohat|boha/tte, -tan, -ttad; -tuoiden, -tuoid|a.|богаттэ|богатый|rikas|||||||||||||||
|bohatter'|bohattir'i, -n, -d|s.|богаттыри|богатырь|jättiläinen|||||||||||||||
rikastuda|bohattuda|boha/ttuda, -tun, -tuin|v.||богатеть|rikastua|bohatun (RKS)|богатун|богатею|rikastun|||||||||||
raved|boič|(V) boi/če, -čan|a.||бойкий, проворный, расторопный, смышлёный|taitava, terhakka, sukkela, ketterä|||||||||||||||
bokad|bokk|bo/kke, -kan, -kkad; -kkiden, -kkid|s.||бок, сторона|kylki, sivu|||||||||||||||
bokk|bokad|bo/kad, -kkiden, -kkid|s. mon.||бока|kyljet, sivut|||||||||||||||
|bokaspiä|bokas/päi|adv. yhd.|бокас-пия|сбоку, со стороны|sivulta|||||||||||||||
|bokovušk|bokovušk/e, -an, -ad|s.||пристройка, боковушка|sivurakennus|bokovuškan Pelduoižis tuoi||пристройку он привёз из Пелдож|sivurakennuksen hän toi Peltoisesta|||||||||||
pagišta|boltaida|boltai/da, -n, -n|v.||болтать, говорить|lörpötellä, rupatella|boltain (RKS)|болтаин|болтаю, говорю|rupattelen|||||||||||
borč, borččah|borčas|borčas|adv.||в борьбе, на борьбе|painimassa|borčas olen (RKS)|борчас олэн|борюсь|painin|||||||||||
hongik, mändik|boru|boru, -n, -d; -id|s.||бор|kangasmaa, männikkö|borus (RKS)|борус|в бору|männikössä|||||||||||
bokko, boša, bošak|bošš|bošši, bošin, boššid|s.|бошши|баран|pässi|||||||||||||||
bošakoine, vuon, vuonaine; bošš|boššvuon|(Lm) bošši/vuone|s. yhd.||ягнёнок|pässivuona|||||||||||||||
bošakoine, boššvuon, kark, vuonaine|vuon|vuon/e, -an, -ad; -id|s.||ягнёнок|vuona, karitsa|||||||||||||||
bošakoine, boššvuon, karkuine, vuon|vuonaine|vuona/ine, -ižen, -šte ~ (V) -št; -ižid|s. dem.||ягнёнок, ягнёночек, овечка|vuona (pieni), karitsa (pieni), karkkonen|||||||||||||||
vuon, vuonaine|vuonaižed|vuonaiž/ed ~ -et (RKS), -id|s. dem. mon.||ягнята, ягнятки|vuonat (pienet), karitsat (pienet), karkkoset|||||||||||||||
mramor, suloikivi|bramor’|bramori, -n, -d (RKS)|s.|брамори|мрамор|marmori|||||||||||||||
vell'|bratan|bratan, -an, -ad|s.|братан|двоюродный брат, братан (RKS); братец, братец|miesserkku; veikko|||||||||||||||
bratan|bratanaksed|bratana/ksed, -ks'iden, -ks'id|s. mon.||двоюродные братья (братцы)|serkukset, miesserkukset|||||||||||||||
bratanaksed|seukuksed|(Lm) seukuksed|s. mon.||двоюродные братья (братцы); двоюродные сёстры (сестрицы)|serkukset|||||||||||||||
breida|briedida II|(TP) bried'i/da, -n, -in|v.||брить, побрить|ajaa partaa|(TP) tämä n'iittu on kaku bried'ittü||этот луг как будто побрит|tämä niitty on kuin partaveitsellä ajettu|||||||||||
|briedidakse|bried'i/dakse, -mös|v. refl.||||bried'imös (RKS)|бредимёс|бреюсь|ajan partaani|||||||||||
priha|briha|brih/a, -an, -ad; -uoid|s.|брига|парень|poika, nuorukainen, naimaton mies, poikamies|||||||||||||||
prihač|brihač|(Lm, TP) briha/čču ~ (V) briha/č, -čun, -ččud; -čuid|s.|бригаччу|мальчик|poika, poikalapsi|||||||||||||||
|britv|britv/e, -an, -ad; -uoid|s.|бритвэ|бритва|partaveitsi|||||||||||||||
bringuttada|brizguttada|brizgu/ttai, -tan, -t'in|v.||брызгать|roiskuttaa, pärskyttää|brizgutan (RKS)|брызгутан|брызжу|räiskyn, roiskun, pirskun, pärskyn|||||||||||
matkmiez|brod'ag|brod'ag/e, -an, -ad; -uoid (RKS)|s.|бродягэ|бродяга|kulkuri|||||||||||||||
|bross|brosse|s.|броссэ|пшено|hirssi|||||||||||||||
brükvad|brükv|br'ukv/e ~ (TP) br'ukf/e, -an, -ad|s.|брюквэ|брюква|lanttu|||||||||||||||
brükv|brükvad|(V) br'ukvad ~ (TP) br'ukfad|s. mon.|брюквэ|брюквы|lantut|||||||||||||||
baba, baboi, buabušk|buab|buabo|s.|буабо|бабушка|mummo|||||||||||||||
baba, baboi, buab|buabušk|babušk/e, -an, -ad|s.||бабушка|mummo|babuškad-t'ieduoin'ikad||бабушки-знахарки|tietäjämummot|||||||||||
|bučč|pučči, pučin, puččid; pučiid; (V) bučči|s.|пуччи|бочка|tynnyri|||||||||||||||
buuččida, pesta, steraida|buukita|buuki/ta, -čen, -čin|v.||бучить бельё, стирать бельё|keittää lipeässä, pestä pyykkiä|buukičen (RKS)|букичен|бучу|pesen pyykkiä|||||||||||
|buuk|buu/kku (RKS) ~ -kk (LMS 25), -kun|s.|буку|стирка, бельё; посудина для бучения, бук (RKS)|pyykki, vaatteidenpesu; pesusaavi, pesusoikko|||||||||||||||
niegl|bulafk|bulafk/e, -an|s.|булавкэ|булавка|nuppineula|||||||||||||||
bul'boi|bul'buk|(TP) bul'bu/kk, -kan|s.||кувшинка, бульбушка|ulpukka|||||||||||||||
|bulk I|bulk/e, -an (RKS)|s.|булкэ|булка|vehnäleipä, pulla|||||||||||||||
kubl|bul'k|(TP) bul'/kku, -kun|s.||нарыв, фурункул, прыщ; пузырь (плавательный)|paise, näppylä; uimarakko (särjen)|(TP) särgin bul'kku||плавательный пузырь плотвы|särjen uimarakko|||||||||||
kublaine|bul'kuine|(V) bul'ku/in'e, -ižen|s. dem.||прыщик; пузырёк|näppylä (märkivä), paise (pieni); kupla (pieni)|||||||||||||||
|bul'kkada|bul'ka/da, -u|v.||булькать|pulputtaa|bul'kau (RKS)|булькау|булькает|pulputtaa|||||||||||
|bumag|bumag, -an, -ad|s.|бумаг|бумага|paperi|bumagal||на бумаге|paperilla|||||||||||
|buol|buol/e, -an, -ad|s.|буолэ|брусника|puolukka|||||||||||||||
butil’, pull|butulk|butilk/e, -an|s.|бутылкэ|бутылка|pullo|||||||||||||||
|bäigüda|(Lm, TP) bäägü/dä, -u, -i|v.||блеять|määkiä|(V) bäigüu|бяйкяу|блеет (овца)|määkii, mäkättäää, määkyy|||||||||||
|čainik|čain'i/kke, -kan, -kkad; -kuoid|s.|чайниккэ|чайник|teepannu|||||||||||||||
|čaju|čaju ~ čuaju, -n, -d|s.|чаю|чай|tee|hiilav čaju||горячий чай|kuuma tee|||||||||||
|čaju||s.||||d'uogat čajud! ||пейте чай!|juokaa teetä!|||||||||||
|čaju||s.||||vala čajud ~ čuajud! ||налей чаю!|kaada teetä!|||||||||||
|čakata|ča/kata, -kkadan|v.||||čakkadan (RKS)|чаккадан|браню|torun, nuhdelen, haukun|||||||||||
|čakk|ča/kke, -kan, -kkad; -kuoid|s.|чаккэ| комар, мошка|hyttynen, lentävä hyönteinen, mäkärä|||||||||||||||
|čakkado|čakkavo|s.|чаккаво|брань|toruminen, tora, nuhde|||||||||||||||
|čašk|čašk/e, -an, -ad|s.|чашкэ|чашка|kuppi|||||||||||||||
čokk|čokad|čekad (RKS)|s. mon.|чекат|чека|sokkanaulat|||||||||||||||
|čepč|čepč/e, -än, -äd; -id|s.|чепче|чепец, чепчик (RKS)|myssy, naidun naisen päähine|||||||||||||||
|černilad|černiläd (RKS)|s. mon.|чернилят|чернила|muste|||||||||||||||
helmed, kaglniit’; primuzl|čiep|čie/ppi, -pin, -ppid; -piid|s.|чияппи|цепь; цеп; бусы|ketju, vitjat;  puintivarsta (LyE, LyK); kaulahelmet (B)|||||||||||||||
kaglniit’|čiepiine|čiepi/ine, -ižen, -šte; -ižid|s. dem.|чиэпийнэ|цепочка|ketju (pieni)|||||||||||||||
počinbuol, sestroi|čiihoi|čihuoi, -n, -d; (TP, SP, V)  čihoi|s.||смородина|herukka, viinimarjapensas, viinimarja; sianpuola (Ph)|||||||||||||||
|čiihoipuu|(Lm) čihoi/puu|s. yhd.||||||||||||||||||
|čiihoimuard'|(Lm) čihoi/moard'e|s. yhd.||||||||||||||||||
|čihišta|čihi/šta, -žöu, -ži|v.||шипеть|sihistä|čihižöu (RKS)|чигижэу|шипит|sihisee|||||||||||
|čihk|(V) čihk/e, -an, -ad; -uoid|s.||||||||||||||||||
|sirp|čir/ppi, -pin, -ppid; -piid |s.|чирпи|серп|sirppi|(TP) kagre rahnotah čirpil liuftehile, pandah kühlähäizile||овёс жнут серпом в снопы, складывают в суслончики|kauraa leikataan sirpillä, pannaan kuhilaille|||||||||||
lugu, päivlugu|čisl|čisl/e, -an, -ad (RKS)|s.|числэ|число|luku|||||||||||||||
huozida, kuorittada, puhtastada, puhkaita|čistida|čist'i/da, -n, -in|v.||чистить, начищать (самовар)|puhdistaa|čist'in (RKS)|чистин|чищу (самовар)|puhdistan|||||||||||
čirk, kiur|čiučoi|čiuč/uoi ~ čiučui (RKS), -uoin, -uoid; -oluoid; (SP) čiučoi, -n|s.|чиучуй|пташка, птичка, воробей|pieni lintu, varpunen, kiuru (V)|||||||||||||||
|čondžoi|čon'd'ž/uoi, -uoin, -uoid; -oluoid; (SP) čon'd'žoi|s.|чёнжуой|блоха|kirppu|||||||||||||||
|čotaida||v.||||čotain (RKS)|чотаин|считаю|lasken|||||||||||
|čott|čo/tte, -tan, -ttad|s.|чоттэ|счет|helmitaulu, tili|||||||||||||||
kuningaz|cuar'|(V) cua/ri, -r'in, -r'id; -r'iid|s.|цари|царь|tsaari|||||||||||||||
|čugun|čugun, -an, -ad|s.|чугун|чугун|valurauta, malmi|||||||||||||||
čukkel; sotk|čukkel'|čukkel'i (RKS)|s.|чуккэли|нырок|narsku, sotka|||||||||||||||
čukkel'; čukkeloh|čukkelih|(Lm) čukkelih|adv.||под воду, в омут|sukelluksiin|||||||||||||||
kiur|čumučiučoi|čumu/čiučui  (RKS)|s. yhd.|чуму-чиучуй|жаворонок|kiuru, leivonen|||||||||||||||
|čunkad|čunkad (RKS)|s. mon.|чункат|чунки|tappuravirsut|||||||||||||||
|čupp|ču/ppu, -pun, -ppud; -puid|s.|чуппу|угол|nurkka, soppi|suureh čuppuh||в красный угол|ikoninurkkaan|||||||||||
čiraita, čirišta, čoraita,  čorišta, čurišta|čurčettada|čurče/ttai, -ttau|v.||журчать|liristä, lorista|čurčettau (RKS)|чурчеттау|журчит|lirisee, lorisee|||||||||||
čuru, helü, kell|čurukell|(Lm) čuru/kello|s. yhd.||бубенец|kulkunen, tiuku, vaskikello (pieni)|||||||||||||||
čuru, čurukell, kelloine|čurukelloine|(TP) čuru/kelloine|s. yhd. dem.||бубенчик|kulkunen (pieni), tiuku (pieni)|||||||||||||||
tuta|čustvuida|čustvui/da, -n, -n|v.||||čuvstvuin (RKS)|чувствуин|чувствую|tunnen|||||||||||
i, ja|da|da|konj.||и, да|ja, sekä|(Pn) kouz lähtimme pogostal da n'umaloih mänimme  (OLR 46)||когда мы отравлялись из погоста и шли на богомолье|kun lähdimme kirkonkylästä ja menimme rukoilemaan|||||||||||
|d’agadakse||v.||||d’agamos (RKS)|дягамос|делюсь|jaan (refl.)|||||||||||
|d’algaine I|d’alga/ine, -ižen, -šte; -ižid|s. dem.|дялгайнэ|ножка|jalka (pieni)|||||||||||||||
|d’aššik|jašči/kke, -kan, -kkad; -kuoid (RKS)|s.|ящиккэ|ящик|laatikko|||||||||||||||
kierduz|d’ataž|etaž (RKS)|s.|этаж|этаж|kerros|||||||||||||||
|d’uri/šta|d’üri/štä, -žen, -žin;  -žöu, -ži|v.||||d'ürižen (RKS)|дюрижэн|гремлю|kolisen, kalisen, rämisen|||||||||||
|d'abluk|d'ablo/kke, -kan, -kkad; -kuoid|s.|дяблоккэ|яблоко|omena|||||||||||||||
|d'ablukpuu|d'ablokke/puu (RKS)|s. yhd.|дяблоккэ-пуу|яблоня|omenapuu|||||||||||||||
|d'alg|d'alg/e, -an, -ad; -uoid|s.|дялги|нога|jalka|hural d'algal||левой ногой|vasemmalla jalalla|||||||||||
|d'alg||s.||||oigedal d'algal||правой ногой|oikealla jalalla|||||||||||
pohd'|d'alganpohd’|d'algam/pohje (RKS)|s. yhd.|дялган похье|подошва (ноги), ступня|jalkapohja|||||||||||||||
|d'algatoi|d'algatuoi (RKS)|a. kar.|дялгатуой|безногий|jalaton|||||||||||||||
|d'amštik|jamšči/kke, -kan, -kkad; -kuoid (RKS)|s.|ямщиккэ|ямщик|ajuri; kyytihevosen omistaja, kestikievarin isäntä|||||||||||||||
d'armank|d'armankad|jarmankat (RKS)|s. mon.|ярманкат|ярмарка (RKS)|markkinat|||||||||||||||
|d'auh|d'auh/o, -on, -od|s.|дяуго|мука|jauho|||||||||||||||
|d'auhoda|(V) d'auh/oda, -on, -uoin |v.||||||||||||||||||
d'auhoda|d'auhottada|d'auho/ttai, -tan, -t'in|v.||||d'auhotan (RKS)|дяуготан|мелю муку|jauhatan|||||||||||
deng|dengad|d'eng/ad, -uoiden, -uoid|s. mon.||||||||||||||||||
dengad, raha|deng|d'eng/e, -an, -ad; -uoiden, -uoid|s.||деньга, деньги|raha|||||||||||||||
|died|d'iedo ~ (Lm) d'ied'o ~ (V) d'iede|s.|диэдо|дед|vaari, isoisä, ukki|(Tsar) d'iedo keskihe män'i||дед встал между (ними)|vaari meni väliin|||||||||||
|didi|(V) d'id'i|s. dem.||||(V) d'id'i, tule tänne!||деда, иди сюда!|ukki, tule tänne!|||||||||||
|diel|d'iel/o, -on, -od; -uoid|s.|диэло|дело|asia|on d'ielot (RKS)|он диэлот|есть дела (хлопоты)|on tekemistä|||||||||||
|diel||s.||||kaks d'ielod ||два дела |kaksi asiaa|||||||||||
|diel||s.||||moižed d'ielod||такие дела|sellaiset asiat|||||||||||
