a.	endine	end’i/in’e, -ižen, -št	былой	entinen			
adv.	ezmaiči	ezmaači	вначале	alussa, ensiksi			
adv.	ezmaižiks	ezmaažiikš	во-первых	ensimmäiseksi			
s.	hago	hago	балежник				
s.	hengaduz	hengaduz	вдох	hengähdys			
v.	hengittada	hengitada	дышать	hengittää	hengitada iččehe	вдохнуть	
a.	huigimatoi	huigimatuu (IL) 	бессовестный	omatunnoton			
adv.	hurah	huraha	влево	vasemmalle			
adv.	hüväižesti	hüvääžest’i	вежливо	kohteliaasti			
s.	iga	iga	век	ikä	iga el’äda	вековать	
s.	iga	iga	век	ikä	kaikes igas	вовек	
v. refl.	ihasteldudakse	ihastel’dudakse	восхищаться	ihastua			
s.	ihastuz	ihastuz	восторг	ihastus			
prep.	ilmai	ilmaa	без	ilman			
v.	ižandoita	ižanduu/ta, -čob, -č ~ -čii	владеть; хозяйничать	omistaa; isännöitä			
s.	iän’	iän’	голос, звук	ääni	puol’ehe iän’ehe	вполголоса	
s.	kacahtuz	kacahtuz	взгляд	katse, katsaus, silmäys, vilkaisu			
v.	kacelta	kacel’ta	взирать, высматривать	katseööa			
s.	kagluz	kagluz	воротник, ворот				
num.	kaheksakümment	kahesaküment	восемьдесят				
num.	kaheksatošt	kahesatošt	восемнадцать				
adv.	kahtei	kahtei	вдвоём	kaksin			
adv.	kaikkijal	kaikijal	везде	kaikkialla			
s.	kazvatand	kazvatand	воспитание				
a.	keitettu	keittud	варёный	keitetty			
a.	kengatoi	kengat/uu ~ (Pal) kengät/uu, -oman, -omad	босой	paljasjalkainen			
a.	keväčud	keväčud	веснушки	pisamat			
adv.	kibed	kibed	больно	kipeä			
v.	kiehuda	kiehuda	кипеть	kiehua			
s.	kieldatuz	kiel’datuz	запрет, воспрещение	kielto			
v.	kielta	kiel’ta	запретить, воспрещать	kieltää			
adv.	kieral	kierdal	вдруг; зараз				
adv.	kieras	kierdas	вдруг; зараз				
adv.	kieras	kierdas	вдруг, внезапно	yhtäkkiä			
v.	kierta	kierta	вить, крутить	kiertää			
s.	kiimaig	kiim/aig	брачный период	kiima-aika			
v.	kiändelta	kiändel’ta	валять	kiertellä			
v.	kiärida	kiär'da	забинтовать, бинтовать, завернуть, закатать		kiär'da bumagaha	завернуть в бумагу	
v. refl.	kiätäkse	kiätakse	вернуться	palata			
v.	koheta	koheta	восстановить	saada takaisin, palauttaa			
v.	kualada	kualda	идти вброд	kahlata			
a.	kohtuine	koht/uin’e, -uižen, -ušt ~ (Pal) koht/uun’e, -uužen, -ušt	беременная (о женщине)	raskaana oleva (naisesta)	kohtuin’e nain’e	беременная женщина	raskaana oleva nainen
s.	kovažim	kovažim	брусок, точильный камень	hiomakivi			
s.	kukkar	kukkor	кошелёк, бумажник	kukkaro			
s.	kulm	kuum, -an, -ad	бровь	silmäkulma, kulmakarva	kuumad	брови	silmäkulmat
a.	kuolematoi	kuol’ematuu	бессмертный	kuolematon			
a.	kuulematoi	kuul’ematuu	непослушный	tottelematon			
s.	külg	kül’g	бок	kylki			
adv.	külläl	kül’l’äl	вдоволь, довольно	riittävästi	magata kül’l’äl	выспаться	
s.	küzünd	küz’ünd	вопрос	kysymys			
v.	käskeda	kästa	велеть	käskeä			
s.	lesk	l’es’k	вдовец, вдова	leski			
s.	leskakk	l’es’k/akk	вдова	leski (naisspuolinen)			
s.	leskmužik	l’es’k/mužik	вдовец	leski (miespuolinen)			
s.	lifčik	l’ifčik, -an, -ad	бюстгалтер	rintaliivi			
adv.	ližaks	l’ižaks	вдобавок	lisäksleskii			
a.	lugematoi	lugematuu	бесчисленный	lukematon, lukuisa			
s.	luom	luom	веко	silmäluomi	luomed	веки	
v. refl.	lükkidakse	l’üktakse ~ (Pal) l’üktäkse	бросаться	heittäytyä			
v.	lüödä	l’üöda	бить	lyödä			
a.	maged	maged	сладкий; вкусный	makea; herkullinen			
s.	magu	magu	вкус	maku			
s.	maha	maha	брюхо	maha			
s.	moloč	moloč, -an, -ad	молодец	välkky			
s.	muruine	mur/uin’e, -uižen, -ušt	крошка	murunen	(Pal) muruužiikš	вдребезги	
s.	mušt	mušt ~ mušto (IL)	память; воспоминание	muisti			
s.	must’ikoi	(Sj) must’ikuu	чёрная корова	musta lehmä	(Sj) must’ikuun kelluun’e	колокольчик чёрной коровы	mustan lehmän kello
v.	muštelta	muštel'ta	вспоминать	muistella			
s. yhd.	musttukk	must/tukk	брюнет	tummatukkainen			
a. yhd.	mustverine	must/veriin’e	смуглый, брюнет	tumma			
s. dem.	mägüč	mägüč ~ (Pal) mägič	пригорок, горка	kumpare	kacu, mägüčal hänen kodi!	вон на пригорке его дом!	
s.	mängünd	mängünd	вопль				
adv.	niškas	niškas	взашей		ajada niškas	выгнать взашей	
s.	nuat’	nuat’	ботва	naatti			
v.	nukahtada	nukahtada	вздремнуть				
s.	nuor	nuor, -an, -ad	верёвка; бечёвка	nuora, naru, köysi; pakettinuora, käärenuora			
s.	nägü	n’ägu	вид	näkö			
a.	nägüž	n’ägüž	видный	näkyvä			
adv.	oksikaz	oksekaz	ветвистый	oksikas			
s.	opind	opind	попытка; ворожба				
v. refl.	ottadakse	ottakse	браться, взяться	ryhtyä, ruveta, alkaa			
v.	pagišta	pagišta	говорить	puhua	äi pagišta	болтать	
v.	pidaita	pidaata	подержать		pidaata kodvaan’e	воспользоваться	
adv.	pitkin	pit’kiin	вдоль	pitkin			
a.	piälimaine	piäl’ima/an’e, -ažen, -št	верхний	ylempi, yläpuolinen			
s.	por’atk	por’atk	порядок	järjestys	panda por’atkaha	восстановить	
a.	puskič	buskič	бодивый	puskeva			
s. yhd.	päivännouzendrand	päivän/nouzend/rand	восток	itä			
adv.	raccahil	rachiil	верхом	ratsain			
s.	raht	raht	творог	rahka			
s. yhd.	rahtpiirag	raht/piirag	ватрушка	rahkapiirakka			
s. yhd.	raudpäčiine	raut/päčiin’e	буржуйка	valurautakamiina			
s.	reng	reng	ведро	ämpäri			
a.	rippuj	rippuj	висячий	riippuva			
s.	ruadpäiv	ruat/päiv	рабочий день	työpäivä	ruatpäiväd	будни	
s.	rubi	rubi	болячка	näppylä			
adv.	salbas	saubas	взаперти, под замком		pidada saubas	держать взаперти	
v.	salbattada	saubatada	кастрировать		saubatetud počč	боров	
v.	šeluda	šeluda	взбалтывать				
adv.	sijah	sijaha	вместо, взамен	sijaan			
s. mon.	sobad	sob/ad, -iin, -iid	бельё	pyykki, vuodevaatteet, alusvaatteet			
s.	soldat	soldat, -an, -ad	боец	sotamies			
v.	sorta	sorta	валить	kaattaa			
s.	suo	suo	болото	suo			
a.	suohine	suohi/in’e, -ižen, -št	болотистый	soinen			
a.	surmatoi	surmatuu	бессмертный	kuolematon			
a.	suur’	suur’	большой	iso	ül’en suur’	очень большой, громадный	
a.	suur’	suur’	большой; великий	iso	ul’en suur’	очень большой; великан	
v.	sütüttada	s’üt’ütada	зажечь, воспламенить				
a.	süvä	süvä	глубокий	syvä			
adv.	süväle	süväl’e	вглубь	syvälle			
v.	särähtada	s’är’ähtada	вздрогнуть				
adv.	tabas	tabas	вгорячах				
adv.	tarkas	tarkas ~ tarkah	точно, внимательно, чётко; аккуратнo, бережно	tarkasti	häin pagižob hil’l’ašt’i da tarkas	он говорит медленно и чётко	
adv.	terambi	t’erambi	быстрее	nopeammin			
a.	terav	t’erav, -an, -ad	острый	terävä	t’erav kiel’el’e	бойкий на язык	
a.	terveh	t’erveh	бодрый	pirteä			
a.	tiedamatoi	t’iedamatuu	неведомый, внезапный	tietämätön, äkillinen			
s.	tiäi	t’iäi	вошь	täi			
s.	tora	tora	драка, перепалка, схватка; битва, побоище 	tappelu; taistelu			
v.	torata	torata	бороться	kamppailla			
s.	tuhu	tuhu	метель, буран, вьюга	lumipyry, pyry, lumimyrsky			
a.	tulij	tul’ij, -an, -ad	будущий	tuleva			
s.	tuoh	tuoh, -en, -t	берёста	tuohi			
s.	tusk	tusk, -an, -ad	боль	tuska			
s.	tuulatand	tuulatand	веяние				
s. yhd.	tuulatandmašin	tuulatand/mašin	веялка				
v.	tuulattada	tuulatada	веять				
pron.	tüö	t’üö	вы	te	t’eid’en	ваш	
s.	uližend	ul’ižend	вой	huuto, ulvonta			
a.	urad	urad, -an, -ad	бешенный	raivotautinen			
a. yhd.	uradpäivälline	urat/päiväl’iin’e	взбалмошный				
v.	uskoda	usta ~ uskta	верить	uskoa			
s.	uskond	uskond	вера	uskonto			
s.	vagahaine	vagaha/an’e, -ažen, -št	младенец, грудной ребенок	vauva			
s.	vagon	vagon, -an, -ad	вагон	vaunu			
s.	vakansij	vakans’ij	вакансия	avoin työpaikka			
s.	val’uut	val’uta	валюта	valuutta			
s. yhd.	valgedtukk	vauget/tukk	белокурый	vaaleatukkainen			
s.	vals	val’s, -an, -ad	вальс	valssi			
s.	vann	vann, -an, -ad	ванна	amme, kylpy			
v.	varaita	varaata	бояться	pelätä			
v.	vard’oita	vard’uuta ~ (Pal) vard’uuda	беречь, охранять	"huolehtia, turvata, varjella
"			
v. refl.	vard’oitakse	vard’uotakse ~ (Pal) vard'uudakse	беречься, уберечься	olla varovainen, varoa	vard’uote! ~ vard’uude! (IL)	берегись!	varo!
v. refl.	vard’oite!	vard’uote! ~ (Pal) vard’uude! (IL)	берегись!	varo!			
s.	varend’	varend’, -an, -ad	варенье	hillo			
v.	vargastada	vargastada	воровать	varastaa			
s.	vargastand	vargastand	воровство	varkaus			
s.	vata	vata	вата	vanu			
s.	vaza	vaza	ваза	maljakko			
adv.	važnij	važnij	важный	tärkeä			
s.	veččina	veččina	ветчина	kinkku			
v.	vedaita	vedaata	везти	kuljettaa, viedä, tuoda			
s., a.	vedaj	vedaj	ведущий	juontaja, kuuluttaja; määräävä, johtava			
a.	vedehine	vedehi/in’e, -ižen, -št	водяной	vetehinen			
s. yhd.	vedenvedaj	veden/vedaj	водовоз				
s.	veksel’	veksel’	вексель	vekseli			
s.	velg	velg	долг	velka, laina			
adv.	velgah	velgha ~ (Pal) velgaha	в долг, взаймы	lainaksi	(Pal) otta velgaha 	брать в долг, занимать, заимствовать	
s.	veloseped	veloseped	велосипед	polkupyörä			
s.	venč	venč	венец	seppele			
s.	venk	venk	венок	seppele			
s.	ventil’ator	vent’il’ator	вентилятор	tuuletin			
s.	veranda	veranda	веранда	kuisti, veranta			
s.	verbl’ud	verbl’ud	верблюд	kameli			
s.	verisuon’	ver’i/suon’	вена	verisuoni			
s.	vertol’ot	vertol’ot	вертолёт	helikopteri			
s.	verzij	vers’ij	версия	versio			
s.	vešalk	vešalk	вешалка	naulakko			
a.	vessel’	ves’s’el’	весёлый	iloinen			
s.	vesselduz	ves’s’el’duz	веселье	juhlatunnelma, hauskuus			
s.	vestibül’	vest’ib’ul’	вестибюль	eteisaula			
s.	veteran	vet’eran	ветеран	veteraani			
s.	veterinar	vet’er’inar	ветеринар	eläinlääkäri			
s.	vieh	vieh	веха, вешка	rajapyykki			
v. refl.	viereteltakse	vieretel’dakse	валяться	kieriskellä			
s.	vies	vies	вес	paino			
v.	viesata	viesuutta (IL)	взвешивать				
s.	vieskad	vieskad	весы	vaaka			
s.	viest’	viest’	весть	viesti			
s. yhd.	vihamiez’	viha/miez’	враг	vihollinen			
a.	vihaž	vihaž	злобный, злой; враждебный	vihainen			
s.	viin	viin	вино	viini			
s.	viktorina	viktor’ina	викторина	tietokilpailu			
s.	vilk	vilk	вилка	haarukka			
s.	vill	villa	вилла	villa			
s.	villak	villak, -on, -od	валенок	huovikas	villakod	валенки	
s.	vinigred	vin’igred	винегрет	rosolli			
s.	vinograd	vinograd	виноград	rypäle			
s.	vint	vint	винт	ruuvi, potkuri			
s.	vintofk	vintofk	винтовка	kivääri			
s.	virtuoz	virtuoz	виртуоз	taituri			
s.	vitamin	vitamin	витамин	vitamiini			
s.	vitrin	vitrin	витрина	vitriini			
s.	viza	viza	виза	viisumi			
s.	vizit	viz’it	визит	vierailu			
s.	viärittada	viär’itada	винить	syyttää			
s.	viärüz	viäruz	вина	syyllisyys			
s.	vodolaz	vodolaz	водолаз	sukeltaja			
a.	voimatoi	voimatuu	больной	sairas	olda voimatuun (IL)	болеть	
s.	vora	vora	вор	varas			
s.	voronk	voronk	воронка				
adv.	vous’o	vous’o	вовсе	mitään, yhtään, lainkaan			
a.	vuottamatoi	vuotamatuu	нежданный, внезапный	odottamaton, äkillinen			
adv.	ülähaks	ül’ähaks	вверх; ввысь	ylös			
adv.	ülähan	ül’ähan	вверху	ylhällä			
adv.	üöstüksiš	üöstus'iiš	в заблуждении	eksynyt	kävel'ta üöstus’iiš	блуждать, бродить	
s.	ägestuz	ägestuz	боронование	äestäminen			
s.	ägez	äge/z ~ ägeh (IL), -hen, -st 	борона	äes, hara, karhi	ägehen siäd’iim (LMS)	мы сделали борону	äkeen teimme
v.	kielastada	kielastada	врать	valehdella			
s.	kielastuz	kielastuz	враньё	valhe			
s.	muanituz	muan’ituz	обман	petos			
s.	pill	pill	вред	vahinko			
s.	vihažnik	vihažn'ik	враг	vihollinen			
s.	vračč	vračč	врач	lääkäri			
s.	vratar’	vratar’	вратарь	porttivahti			
v.	ähkäita	äh’kääta	толкнуть, воткнуть				
s. yhd.	pillansiädäj	pillan/s’iädaj	вредитель; вредный	tuholainen; haitallinen, vahingollinen			
adv.	eriže	erže	врозь, порознь	erikseen			
s.	ajaj	ajaj	ездок	ajaja	rachiil ajaj	всадник	
adv.	kaikked	kaiked	всего	yhteensä			
adv.	nell’ut	n’el’l’ut	галопом		t’äit n’el’l’ut	во весь опор	
v.	hüpnida 	hüpn’i/da, -b, -i 	прыгнуть, вскочить	hyppää			
adv.	iäneh	iän’ehe	вслух	ääneen			
v.	riiččida	riič/ta ~ riič/ta, -ib, -ii	распороть, разобрать		hänen tuatan kod’i om r’iičtud	дом его отца разобран	
					d’er’ein’am per’t’id oma riičtut kaik irdal’e	все избы деревни разобраны прочь	
v.	küntä	künta, kündab, künd’ž ~ künd’žii	пахать	kyntää			
s.	 kündänd	kündand ~ kündänd, -an, -ad	пахота, вспашка	kyntäminen			
	piäle	piäl’e	на поверхность		tulda veden piäl’e	всплывать	
v.	muštoitelta	muštuutel’da	вспоминать	muistella			
v.	higostuda	higostuda	вспотеть	hikoilla			
v.	pudištada	pud’ištada	встряхнуть	heiluttaa			
s.	oraz	oraz	oras	oras	orahad	всходы	
s.	idävüz	idävüz	всхожесть				
v.	ribaidoittada	ribaaduutta	всыпать				
adv.	luad 	luad, -un, -ud 	лад, манер, образ		kaikehe lauduhe	всячески	
adv.	peitoiči	peituuči	тайком, втайне				
adv.	hill’aižesti	hil’l’aažest’i	тихонечко, втихомолку	hiljaisesti			
adv.	vajeti	vajet’t’i ~ (SV) vait’i	молча, втихомолку	ääneti	olda vajet’t’i	молчать, помолчать, промолчать	
v. yhd.	tungedakse	tunktakse	вторгаться	tunkeutuam sekaantua			
adv.	kiirehel	kiirhel	второпях	kiireellä			
num.	kolmandeh	koumandehe	в-третьих				
num.	kolmandeks	koumandeks	в-третьих	kolmanneksi			
v.	püštäda	püšta	втыкать				
s.	vuz	vuz	вуз	korkeakoulu			
s.	vulkan	vulkan	вулкан	tulivuori			
adv.	egläi	egl’ää	вчера	eilen			
a.	egläine	egl’ään’e	вчерашний	eilinen			
adv.	nelläkeskei	nel’l’ä/keskei	вчетвером				
v.	ombelta	ombel’ta	шить	ommella	ombel’ta südämehe	вшивать	
v.	ajada	ajada	ехать; выгонять	ajaa	ajada südämehe	въезжать	
	ajada	ajada	выезжать	lähteä pois	ajada irdal’e	выбывать	
v.	valita	val’ita	выбирать	valita			
s.	valičend	val’ičend	выбор	valinta			
s.	viborad	viborad	выборы	vaalit			
v.	lükäita	l’ükääta	выбрасывать, выкинуть	heittää pois			
s.	mučkaduz	mučkaduz	вывих				
s.	vedand	vedand	вывоз				
v.	ut'ugoita	ut'uguuta	утюжить, заглаживать				
v. yhd.	ozuttadakse	oz’itadakse, oz’itaze, oz’iit’iihe(ze)	показываться; выглядеть				
v.	ozuttada	oz’itada	показывать	näyttää			
v.	puzerta	puzerta	выжать				
v.	kuccuda	kucta	звать, вызвать	kutsua	kucu!	позови!, вызови!	
s.	paimendkoht	paiment/koht	выгон	laidun			
s.	paimend	paimend	выпас				
v.	vierda	vierta	выгорать		vierta päivääžel	выгорать на солнце	
v.	anta	anta	выдавать	"ilmaista, antaa tiedoksi
paljastaa, kavaltaa, pettää
luovuttaa (rikollinen maasta)"			
v.	vidumaida	vidumaada	выдумать				
v.	vuottada	vuota	выжидать	odottaa, väijyä			
v.	lähtä	l'ähta	отправиться; выйти	lähteä	l’ähte!	отправляйся!, иди!, выходи!	lähde!
v.	mändä	mända	идти, выйти	mennä	mäne!	иди!, выходи!	mene!
v.	kazvattada	kazvatada	ростить, выкормить	kasvattaa			
v.	lükkida	l’ükta	бросать, выкидывать				
v.	tagoda	tagoda	выковать				
v.	kruassida	kruasta	выкрасить				
s.	vikroik	vikroik	выкройка				
v.	viilelta	viil’el’ta	выкроить				
v.	kumaita 	kumaa/ta, -dab, -z’ ~ -z’ii 	выливать, вылить				
v.	redustada	redustada	вымазать				
v.	muanittada	muan’itada	манить, заманивать, выманивать, морочить				
s.	vimpel	vimpel	вымпел	viiri			
v.	vajehtelta	vajehtel’da	выменивать				
v. refl.	pestakse	pestakse	вымыться				
v.	pühkida	pühkta	выметать				
v.	kuolda	kuolda	вымирать				
"
s."	pakiččij	pakičij	попрошайка, нищий				
s.	muanittelij	muan’itel’ij	вымогатель				
v.	muanitelta	muan’itel’da	обманывать, вымогать				
v.	pakita	pakita	вымолить, выпрашивать	pyytää, anoa			
s.	udar	udar	"вымя
"				
v.	kanta	kanta	нести		kanta irdal’e	вынести	
adv.	irdale	irdal’e	прочь, долой		otta irdal’e	вынимать, вынуть, извлекать; отнимать, лишать  	
v.	langeta	langeta	выпадать	pudota			
v.	paštada	pašta	выпекать	paistaa			
v.	d’uoda	d’uoda	выпивать	juoda			
v.	rüöpäita	r’üöpäätä	выпивать				
s.	maksand	maksand	выплата	maksu			
v.	kütkida	kütta	выполоть	kitkeä			
v.	huuhtoda	huhtuuda	полоскать, выполоскать	huuhdella			
v.	laskettada	lasketada	выпрягать				
v.	piästäda	piästa	выпускать	päästää	piästa hädas	выручать	tulla apuun, pelastaa jostakin
v.	selgittada	s’el’gitada	выпутаться				
v.	kazvattada	kazvatada	выращивать	kasvattaa			
v.	leikata	l’eikata	вырезать, вырубить, кромсать				
v.	roun’aida	roun’aada	выровнять				
v.	šumida	šumida	выругать				
v.	kaivada	kaivda	вырыть				
v.	ištuttada	ištutada	высадить, высевать				
v.	lüödä	l’üöda	высечь				
v.	tüötä	t’üöta	выслать, высылать				
v.	kuundelta	kuundel’ta	выслушать				
v.	niištada	n'išta	высморкать				
adv.	korgedas	kortas	высоко	korkealla			
v.	kuivada	kuivda	высохнуть	kuivua			
v.	magata	magata	спать	nukkua	magata kül’l’äl	выспаться	
s.	vistafk	vistafk	выставка	näyttely			
v.	pesta	pesta	выстирать	pestää			
s.	ambund	ambund	выстрел	laukaus			
v.	ambuda	ampta	выстрелить	ampua			
v.	vistupaida	vistupaada	выступать	esiintyä			
v.	ozuttada	oz’itada	высунуть				
v.	kuivattada	kuivatada	высушить				
a.	kuivanu	kuivnu	высохший	kuivunut			
v.	lämbittada	l'ämmitada	выторить				
v.	pudištada	pud’ištada	вытряхивать				
v.	ulišta	ul’išta	выть	ulvoa	rubeta ul’ižmaha	завывать	
v.	ongittada	ongitada	выудить				
v.	opastuda	opastuda	выучить	oppia			
v.	fuattida	fuatta	выхватить				
a.	korgedemb	korgemb	выше				
s.	višifk	višifk	вышивка				
v.	višivoita	višivuuta	вышивать				
s.	vuišk	vuišk	вышка				
a.	višivoittu	višivuutud	вышитый				
s.	vjetnamč	vjetnamc	вьетнамец	vietnamilainen			
s.	tuhu	tuhu	вьюга	lumimyrsky			
s.	d’ušk	d’ušk	вьюшка				
a.	niegloittu	n’iegluutud	вязанный	neulottu			
v.	niegloda	n’iegluuda	вязать	neuloa			
v.	vajottada	vajuu/tada, -tab, -t’ ~ -t’ii	засасывать, топить				
a.	ahavoittu	ahavuutud	вяленый				
adv.	vaivaižesti	vaivaažest’i	вяло				
v.	näivištuda	n’äivištuda	вянуть	kuihtua			
a.	näivištunu	n’äivištunu	вялый	kuihtunut			
v.	räpištuda	r’äpištuda	вянуть	kuihtua			
a.	räpištunu	r’äpištunu	вялый	kuihtunut			
s.	gavan’	gavan’	гавань	satama			
v.	haukkuda	haukta	гавкать	haukkua			
v.	gadaida	gadaada	гадать	povata, ennustaa			
s.	kartad	kartad	карты (игра)	pelikortti	lasta kartiihe	гадать по картам	
s.	tiedoinik	t’ieduun’ik	гадалка	povari			
v.	redustada	redustada	гадить	paskoa, sontia			
s	pahuz	pahuz	гадость	törky, inhottavuus, hirveys, törkeys			
s.	mado	mado	змея	käärme	must mado	гадюка	
s.	gazu	gazu	газ	kaasu			
s.	gazet	gaz’et	газета	sanomalehti			
s.	durm	dur’m	дёрн; лужайка, газон 	nurmi, nurmikko			
s.	gaik	gaik	гайка	mutteri			
s.	gallaktik	gallakt’ik	галлактика	galaksi			
s.	galanterei	galant’er’ei	галантерея	lyhyttavara			
s.	gallerei	gal’l’er’ei	галлерея	galleria			
s.	galstuk	galstuk	галстук	solmio			
s.	kološ	kološ	галоша	kalossi			
s.	gamak	gamak	гамак	riippumatto			
s.	gamm	gamm	гамма	gamma			
s.	gongren	gongren	гангрена	kuolio			
s.	garaž	garaž	гараж	autotalli			
s.	garantij	garant’ij	гарантия	takuu			
s.	garderob	gard’erob	гардероб	vaatekomero, garderobi			
s.	soit	soit	гармошка	harmoniikka			
s.	soittaj	soitaj	гармонист	harmoniikan soittaja			
s.	garnizon	garn’izon	гарнизон	varuskunta			
s.	garnir	garn’ir	гарнир	lisuke			
s.	garnitur	garn’itur	гарнитура	kirjasintyyppi			
s.	palatez	palatez	гарь	paloaukea			
