Synonyymit|Määrittely|kirjalyydi|Murremuoto|Venäjännös|Suomennos|1. esim.|1. esim:n venäjännös|1. esim:n suomennos|2. esim.|2. esim:n venäjännös|2. esim:n suomennos
|pn.|Piiter'|Piit'er', -is|Санкт-Петербург, Питер|Pietarin kaupunki||||||
|a.|ropak|(B, Td) ropa/kk, -kon, -kkod; -koid|шершавый, шероховатый, неровный|rosoinen, karhea, epätasainen||||||
|hn.|Timoi|T'imoi|Тимофей|Timo, Timoteos||||||
|hn.|Varvoi|Varvoi|Варвара|Varvara, Barbara||||||
|hn.|Vaska|Vas'ka, -n, -d|Василий, Вася|Vasili, Basileios||||||
|pn.|Videl'|Vid'el', -is|Видлица|Vitele||||||
|pn. yhd.|Voznosend'anpristan'|Voknosen'n'am/pristan' (VVS)|Вознесенье (посёлок над р. Свирь)|Vosnosenja (Syväri)||||||
|s.|abaj|(Pl, Td, B, Pk) aba/i, (Pl, Td) -jan, -jad; -joid ||apaja; apajanvetopaikka||||||
abidoitakse|v.|abeududa|(Td) abeududa|обижаться, обидеться|loukkaantua, tulla surulliseksi, tulla apealle mielelle||||||
|a.|abidahine|abidahi/n'e, -žen, -št; -židen, -žid; (N) abidahiine|обиженный|apeamielinen, surumielinen, pahamielinen, murheeellinen||||||
abedida|v.|abidoita|abidoi/da ~ (B, Pl, Td, N) -ta, -čen, -čin|обижать, обидеть|loukata, pahoittaa mieli, kohdella huonosti, tehdä vääryyttä||||||
pahamiel'|s.|abid|abid, -an, -ad|обида|pahamieli, murhe, tuska, solvaus, loukkaus||||||
abidoitakse|v.|abiuzuda|(N) abiuzu/da, -n, -in|обижаться, обидеться|loukkaantua, tulla surulliseksi, tulla apealle mielelle||||||
|s.|abu|abu, -n, -d; -id|помощь|apu||||||
abunik|s. yhd.|abumiez|(N) abu/miez'|помощник|apumies, apulainen||||||
abumiez|s.|abunik|abun'i/k ~ -kk, -kan, -kkad; -koid|помощник|auttaja, apulainen||||||
|v.|abuttada|abu/ttada ~ (B, Pl, Td) -tada, -tan, -t'in; -ttau; -tettau|помогать|auttaa||||||
adamantiäht'|s.|adam|adam, -an, -ad|Большая Медведицa|otava|ildas adaman händ luodehee piäi ozuttau|ввечеру хвост Большой Медведицы указывает на запад |illalla otavan pyrstö on luoteeseen päin|||
adam|s. yhd.|adamantiäht'|(B) adaman/t'iäht ~ (Td) -tiäht' ~ (N) tieht'|Большая Медведицa|otava||||||
adr|s.|pluug|(B) pluug, -an, -ad; -id|плуг, соха|aura, sahrat (B)||||||
|s.|adr|adr, -an, -ad; -oiden, -oid |соха, плуг|aatra, sahra, sahrat, aura||||||
ei|kieltov. imperat.|ala II|ela, elgai, elgad|не|älä|ela kičkodelze!|не потягивайся!|älä kiskottele!|||
suarad|s. yhd. mon.|adransuarad|adran/suarad ~ (N) -suorad|развилье сохи|aatran hanko, auran puukaarukset||||||
|s. yhd.|adranpielus|adram/pieluz|колодка сохи|aatran kurki, auran kurki, sarvikko||||||
oja|s. yhd.|adranoja|adran/oja|оглобля сохи|aatran aisa, auran aisa||||||
luotim|s. yhd.|adrluzik|(Kn) adr/luz'ik ~ (N) -luzik ~ (Td) -lužik|отвал сохи|aatran luotin, auran luotin||||||
|s. yhd.|adrvicc|adr/vičč ~ (Td) -vicc|подтужина (в сохе)|aatran reisivitsa, auran reisivitsa||||||
gost'|s.|adiv|ad'v, -on, -od; -oiden, -oid; (N) ad'ivo|гостья (девушка, молодуха)|vieraileva tyttö, vieraileva nuorikko||||||
adivoihe; gostiš, püördüksil|adv.|adivoiš|ad'vois|в гостях|sukulaisissaan||||||
adivoiš; gostihe, kävündoile, püördüksile|adv.|adivoihe|ad'voihe|в гости|sukulaisiinsa||||||
adiv|s.|gost'|goš/t' ~ goš/č, -t'an, -t'ad; -t'id ~ -čid|гость|vieras, vieraileva henkilö||||||
adivoiš, püördüksil; gostihe |adv.|gostiš|gošt'is|в гостях|sukulaisissaan||||||
adivoihe, püördüksile; gostiš|adv.|gostihe|goščii ~ (B) gost'ii|в гости|sukulaisiinsa||||||
adivoita|v. refl.|adivoitakse|(B, Pl, Td) adivoiče/zetta, -zen, -žin |гостить|vierailla sukulaisissaan (tyttö, nuorikko), orpanoida||||||
|a. kar.|agd'atoi|agd'a/toin'e, -ttoman, -tošt; -ttomid |бесконечный|päätön, loputon||||||
|s.|agd'|agd', -an, -ad; -oiden, -oid|конец|pää (nuoran, kylän), loppu||||||
ohvicer|s. mon.|afficerad|(Td) afficer/ad ~ aficer/ad, -oid|офицеры|upseerit||||||
tuul'|s.|ahav|ahav, -on, -od|ветродуй, ветреная погода, ветер (весенний, осенний)|ahava, kylmä tuulinen sää, kylmä ja kuiva tuuli, tuuli (keväällä, syksyllä)||||||
|v.|ahavoita|ahavoi/ta ~ -da, -čen, -čin; -ččou|трескаться|ahavoida, tuulessa pitää||||||
|a.|ahnak|(Ks) ahna/k, -kan, -kkad|жадный|ahne||||||
|adv.|ahnakkali|(B) ahnakkali|жадно|ahneesti||||||
|a.|ahtaz|ahta/z, -han, -st; -hiden, -hid|узкий, тесный|ahdas||||||
|v.|ahtada|aht/ada, -an, -oin|набивать, грузить|ahtaa (riihi)||||||
ahtandlaud|s. yhd.|ahtinlaud|(B) aht'i/laud|доска в риге|ahdinlauta||||||
|v.|ahtištada|aht'iš/tada, -tau, -č|притеснять, сжимать, зажимать|ahdistaa|hengen aht'ištau|дыхание спирает|helgen ahdistaa|||
|v.|ahtištuda|aht'ištu/da, -n; -u, -i; -ttau, -t't'ii|становиться узким|tulla ahtaaksi, kutistua||||||
|s.|ahtuz|(N) ahtu/s, -ksen|посад, поклада, насадка снопов,снопы в риге|ahdos (riihessä)|(N) mäne s'ina ahtuksei i peitate ol'giihei!|залезь в снопы и спрячься в соломе!|mene sinä ahtokseen ja piilottaudu olgiin!|||
|a.|aidnik|aidn'i/k, -kan, -kkad; -koid|блудливый|aituri (eläin), aitomus|(B) aidn'ik lambaz|овца, норовящая убежать из загона|aitomus lammas|||
|s.|ait|ai/tt ~ (B, N) ai/t, -tan, -ttad; -toiden, -toid|амбар, чулан|aitta, varastohuone (talon)||||||
|s. yhd.|aidanvier|aidan/vier, -vieron, -vierod; -vieroiden, -vieroid|сторона забора|aitavieri||||||
aiga, vägi II, ülen|adv.|aida|aida|довольно|aika, melko||||||
aida, vägi II, ülen|adv.|aiga|(B, Ks) aiga|довольно|aika, melko||||||
aiga(l), aigana|postp.|aigah|(Kn) aigah ~ (N) aigaa|во время|aikaan, aikoihin|(Kn) ühten aigah|в одно время|samaan aikaan|||
|postp.|aigah||||(N) perdun aigaa kabud luad'itau|на Петров день делают колобки|pietarinpäivän aikoihin tehdään kokkelipiimäkakkaroita|||
aigah, aiga(l)|postp.|aigana|(Kn) aigan|во время|aikana, aikoina|(Kn) mina ol'in argen aigan s'iga|я был там в скоромное время|minä olin paastojen välisenä aika siellä|||
aigah, aigana|postp.|aiga(l)|(N) aiga|во время|aikana, aikoina|(N) stolan aiga|во время застолья|pöytäaterian aikana|||
|||||||||||
aigoiš|adv. mod.|aigahk|aigahk|рановатo|varhaanlaista, hiukan aikaista||||||
aig|s. dem.|aigaine I|aiga/in'e, -ižen, -št; -ižiden, -ižid; (Kn, N) aigaine|времечко|aika (dem.)||||||
|a.|aigaine II|aiga/in'e, -ižen, -št; -ižiden, -ižid; (Kn, N) aigaine|ранний|aikainen, varhainen||||||
aigemba, ende, endemba; aigoin, aigoiš|adv.-a. komp.|aigemb|aigembi ~ (N) aigem|раньше|aiemmin, aikaisemmin, ennen|(N) tulou aigem strokkud|придет раньше срока|tulee ennen määräaikaa|||
aigoiš|adv.|aigoin|aigoin ~ (B, Lh) aigoi ~ (Kn) aiguoin|рано|aikaisin, varhain||||||
aigaižeh, aigoin, aigoiš|adv.|aigasti|(Td) aigašči|рано|aikaisin, varhain||||||
aigaižes(ti)|adv. dem.|aigaižeh|(N) aigažei|рано, раненько|aikaisin, varhain||||||
|adv.|aigotelti|aigottel'd'i|временами, иногда|ajoittain, aika ajoin||||||
lieta, puuttuda, rodidakse|v.|aigaududa|(Td, Sg) aigaudu/da, -u, -i|случаться, случиться, попадать, попасть|sattua||||||
aino, ainog, ainoi|a.|ainag|ainag, -on, -od; -oiden, -oid|единственный|ainoa||||||
ainag, aino, ainoi|a.|ainog|(Td) ainog, -on, -od; -oiden, -oid|единственный|ainoa||||||
mela|s.|air|air ~ (N) -o, -on, -od; -oiden, -oid|весло|airo||||||
hang I|s. yhd. mon.|airvicad|(D') air/vičad|уключины|hankavitsat (tukkilautan)||||||
|s.|aid|aid, -an, -ad; -oiden, -oid|забор; загон|aita; aitaus, aidattu ala||||||
|s.|aiž|aiž, -an, -ad; -oiden, -oid|оглобля|aisa, ajoneuvojen aisa, aartan aisa||||||
|s. yhd.|aižraud|(D') aiž/raud|скрепа оглобли|rauta aisan tyvessä||||||
kibu, kibištuz, raipaiduz|s.|ailaz|aila/z, -han, -st; -hid ~ (Ks) -hiid|прокол, колющая боль (в боку), колотьё (NFL 515), колики (KTK)|pistos,  pistävä kipu (kyljessä)||||||
ihan|adv.|aivan|aivan|совсем, совершенно|aivan|aivan valged|совсем белый|aivan valkoinen|||
|adv.|aivin|aivin|||aivim praudat pagižou|всегда правду говорит|aina puhuu totta|||
briha, naimatoi, sulhaine|a. kar.|akatoi|aka/toin'e, -ttoman, -tošt; -ttomid |безженный, неженатый|akaton, vaimoton, naimaton||||||
naižluad|s. yhd.|akkluad|akk/luad|женский пол, бабье племя|naisväki, naiset, akat||||||
akkluad, naine|s. yhd.|naižluad|(Td) naiž/luad |женский пол, женщины, женщина|naisväki, naiset, nainen|(Td) naižluadud pidetäu hienoid brujid |женщины используют инструменты небольшого размера|naisväki käyttää pieniä työkaluja|||
|s.|akušerk|(Td) akušerk, -an, -ad|акушерка|kätilö||||||
|s.|ambar'|ambar', -in, -id; -iid|амбар|vilja-aitta, piha-aitta||||||
|s.|ambund|ambund, -an, -ad; -oid|стрельба|ammunta, ampuminen||||||
|v.|ambuda|ambu/da, -n, -in; -u; -tau|стрелять|ampua|(N) strela ambuu|молния бъёт|salama iskee|vuapsahain' ambuu|оса жалит|vaapsahainen pistää
|adv.|amu|amu|давно тому назад|kauan sitten||||||
|a.|amuine|amu/in'e, -ižen, -št; -ižiden, -ižid|старый, долговечный|vanha, pitkänaikuinen||||||
|v.|amulta|amul/ta, -dan, -žin; -ttau, -t't'ii|черпать|ammentaa||||||
|s.|andelij|andel'i/i, -jan, -jad; -joid|щедрый|antelija||||||
|s.|anhel'|an'hel', -in, -id; -iiden, -iid|ангел|enkeli||||||
|s.|anup|ano/pp, -pen, -pped; -ppid; (B, N) anu/p(p) ~ (Kn) anuppi, -pen, -pped; (N) -piid|тёща|anoppi, vaimon äiti||||||
|v.|anta|an/tta, -dan, -ndoin; -ndau, -ndoi|давать; выделять|antaa; erittää|(B) kivi üöl higestuu, andau mehen|камень ночью потеет, выделяет влагу|kivi yöllä hiestyy, erittää kosteutta|||
|v.|anta||||(B) anduoi spassibon|он поблагодарил|(hän) kiitti|(Lmj) hän andoi (OFM)|он дал|hän antoi
|v.|anta||||(B) spassibot anttau ižandale|благодарят хозяина|lausutaan kiitokset isännälle|||
|v.|anta||||anda maidot' t'ilkain'e!|дай молока глоточек!|anna tilkkanen maitoa!|(B) anda lapsele sar'v!|дай ребёнку соску!|anna lapselle imetyssarvi!
|s.|app|app, apen, apped; appid |тесть|appi, vaimon isä||||||
|s.|ard|ard, ardon, ardod; ardoiden, ardoid|жердь|riuku, kuivauspuu (nuotan, vaatteiden)||||||
|a.|argehine|argehi/n'e, -žen, -št;  -žid|скоромный|paastona kielletty, paaston aikana kielletty (ruoka)||||||
|s. yhd.|argpäiv|(Pl, Td) ar'k/päiv||arkipäivä, työpäivä||||||
|v. frekv. refl. |armasteltakse|armastel/zetta, -zen, -žin; -zou|ласкаться, миловалься|rakastella||||||
|v. frekv.|armastelta|armaste/lda, -len, -l'in|ласкать|hyväillä, helliä, ihailla||||||
|s.|armastuz|armastuz|любовь|rakkaus, rakastaminen||||||
|v. refl. |l'uubuidakse|(N) l'ubuitaze||||||||
armastuz|s.|armahuz|armahu/š, -tt|любовь|rakkaus||||||
|v.|armastada|arma/stada, -stan, -št'in; -stetau, -stet't'ii|любить|rakastaa||||||
|a.|armaz|arma/z, -han, -st; -hiden, -hid|милый, любимый, дорогой|rakas, mieleinen||||||
|s.|arttel'|art'el', -in, -id; -iid|артель|joukko||||||
artug, artugad|s.|artut'|(B) artut’, -in|ртуть|elohopea||||||
|v.|arvanzoittada|arvanzoi/ttada, -tan, -t'in; -ttau, -t't'i; -tetau|загадывать|arvuuttaa||||||
arbaduz, arbatuz, arvaituz|s.|arvanduz|arvandu/z, -ksen, -st; -kšid; (N) arvandu/s, -ksen, -st|загадка|arvoitus||||||
arbaduz, arbatuz, arvanduz|s.|arvaituz|(Kn) arvaitu/z, -ksen, -st|загадка|arvoitus||||||
arbata|v.|arvata|arva/ta, -dan, -žin ~ (B, Pl) -in; -tau|угадывать, отгадывать|arvata, ennustaa||||||
|s.|arššin|aršin ~ (B, Pl, Td) arššin, -an, -ad; -oid|аршин|arssina (71 cm)||||||
|a.|arg I|arg, -an, -ad; -oiden, -oid|робкий, боязливый, пугливый|arka|d'än'iž on arg|заяц – пугливый|jänis on arka|||
|s.|arv|arv, -on, -od|цена, стоимость|hinta, arvo||||||
d'algai|adv.|astude|astud'i|пешком|astuen, jalkaisin, jalan||||||
|s.|astužnik|astužn'i/k ~ -kk, -kan, -kkad; -koid|пешеход|jalkamies||||||
|v.|astuda|astu/da, -n, -in; -tau|вставать, ходить|astua, kulkea||||||
|s.|avadim|avad'i/m, -men, -nd; -mid; (Kn) avad'i/m, -men, -md; -miid|ключ|avain|(N) panou avad'imen korman'ii|положит ключ в карман|panee avaimen taskuunsa|||
aveta|v.|avaiduda|(B, Td, N) avaidu/da, -u, -i|||Ol'eks'ei Božii r'iščikanz muanalaižed lukud avaidau|Алексеев день (Алексий Божий  человек) подземные замки открывает|Aleksi Jumalan ihminen maanalaiset lukot avaa|||
|v.|avaita|avai/tta, -dan, -žin|открывать, открыть|avata, aukaista||||||
avaiduda|v.|aveta|ave/ta, -nou, -n'; -tau, -t't'ii|открываться, открыться|aueta||||||
|adv.|avoin|avoin|открытый|auki||||||
čakata, haukkuda, koirastada, moittida; panda|v. frekv.|azetelta|aze/telda, -ttelen, -ttel'in|ругать, порицать; устанавливать|haukkua, solvata, moittia; asetella, panna||||||
tüüništuda|v.|azettuda|aze/ttuda, -tun, -tuin|успокоиться, изменить жизнь|asettua, tyyntyä; muuttua tavoiltaan||||||
|s.|azrag|azrag, -an, -ad; -goid|трезубец|ahrain||||||
|s.|alli|al'l'i, -n, -d; -iden, -id|морянка|alli (vesilintu)|al'l'id meres piäi lettäu|морянки летят с моря|allit lentävät mereltä (suvesta)|||
seibaz, ruag|s. yhd.|andinruag|an'd'ii/ruag|шест для подачи сена|teräväkärkinen seiväs, jolla nostetaan lyhteitä kekoon||||||
sudn|s.|astij|ašč, -an, -ad; -oiden, -oid|сосуд, посудина|astia||||||
a, ka|konj.|ažno|ažno|ажно, а, но|mutta, vaikka, kuitenkin, sittenkin||||||
alpiä|postp.|al|al ~ (Td) all ~ (N) au|под; из-под|alla, alta; alle (Sn)||||||
al|postp. yhd.|alpiä|(Td) al/piäi|из-под|alta|(Td) regen alpiäi|из-под воза|kuorman alta|||
al|postp.|alle|(B, Pl, Td, N) alle|под (куда)|alle||||||
alahaks(piä)|adv.|alah(päi)|alah|вниз|alas||||||
|adv. yhd.|alahsai|alas/suai|донизу|alas asti||||||
|adv.|alahakkali|alahakkal'i|внизу|alhaalla, alhaattain||||||
|adv.|alahaks(piä)|alahakš(piäi) ~ (N) alahakš(piei)|вниз|alas||||||
|adv. yhd.|alahanpiä|alaham/päi ~ (N) -piei|снизу|alhaalta||||||
|adv.|alahan|alahan|внизу|alhaalla||||||
|a. kar.|alastoi|alašto/in'e, -ižen, -št; -ižid |голый|alaston||||||
|adv.|alasti|alašt' ~ (N) alast'i|голышом|alasti, alastomana||||||
|s.|alaine|ala/in'e, -ižen, -št; -ižiden, -ižid|варежка|villakinnas||||||
|s. mon.|alaižed|alaiž/ed,  -ižiden, -ižid||villakintaat||||||
|a.|alav|ala/u, -van, -vad|низкое место, водное место|alava, vesinen (paikka)||||||
|v.|aleuzuda|aleuzu/da, -u, -i|обнижаться|alentua||||||
aleta|v.|alenzoittada|alenzoi/ttada, -tan, -t'in|обнижать|alentaa, laskea alemmaksi, mataloittaa||||||
|v.|aleta II|ale/ta, -nen; -nou, -n'; -tau|понижаться, снижаться, опускаться, спускаться; унижаться; униматься, успокаиваться (погода)|aleta, laskea, mataloitua, tyyntyä (sää)||||||
aloveh|s.|alust|alust, -an, -ad; -toiden, -toid |регион, район|vuori, vaatteenvuori, vuorikangas; alue, piiri||||||
|s.|alužim|aluži/m, -men, -nd ~ (Td) -md; -miden, -mid|наковальня|alasin (pajassa); heinäpieleksen alusta (N)||||||
alužim|s.|nakoval'|(N) nakoval'|наковальня|alasin (pajassa)||||||
|v.|ajada|ajada, ajan, ajoin ~ (Pl) ajuoin; ajau, ajoi; ajetau |ехать, водить|ajaa|"hebod ajades sanutau ""nu!"""|"погоняя лошадь говорят ""ну!"""|hevosta hoputetaan sanalla nu|||
|v.|ajada||||(N) läht' ajamai lagedai nurmei|он поехал в широкое поле|lähti ajamaan aukealle niitylle|(Td) fukn'ii ajoi|промчался|ajoi huristi
|v.|ajada||||aja šiiriči hänes!|проедь мимо него!|aja hänen ohitseen!|||
|s.|ajaj|aja/i, -jan, -jad; -jid||ajaja, hevosmies, vetäjä||||||
|s. yhd.|pardenajaj|parden/ajai (LMS 6, 300)|сплавщик|tukinuittaja, tukinuittomies||||||
|s. yhd.|pardenajo|parden/ajo|сплав|tukinuitto (keväällä)||||||
|s. yhd.|pardenvedaj|(B, Td) parden/vedäi|возчик леса|tukinajaja (talvella)||||||
|a.|vedaj|(B, Td) vedä/i, -jän, -jäd; -jöid (LMS 300)||ajaja (tukin)|(B, Td) parden vedäi|возчик леса|tukin ajaja|||
|s. yhd.|pardenvedo|parden/vedo|возка леса|tukinveto (talvella)||||||
|s. yhd.|ajandaig|(B) ajand/aig|время езды|ajoaika||||||
|v.|ajaškata|ajaška/ta, -den, -dou ~ (N) -ndou; -žin ~ (B) -in |начинать ехать, начинать гнать|alkaa ajaa||||||
|v. frekv.|ajelta|aje/lda ~ (B, Pl, Td) -lta, -len, -l'in; -ldau|кататься, гоняться, гонять|ajella (hevosella), soudella, kulkea aluksella, ajella takaa, kaulita, kaaviloida taikinaa |ajelda venehel|грести, кататься на лодке|soudella|||
|s.|ajelij|(N) ajelii|преследователь, гонитель|ajelija, ahdistaja||||||
|s.|ajeluz|(N) ajelus||ajelu, ajeleminen||||||
|s.|akk|a/kk ~ a/k ~ (Ks) a/kke, -kan, -kkad; -koiden, -koid ~ (Td) -kuoid|жена, женщина, баба|akka, nainen, muori, aviovaimo|saraffon da koht om puar akal|сарафан и кофта - костюм у женщины|feresi ja takki ovat naisten puhu|(N) ak zaved'ii kiisel'it keitamai|женщина стала кисель варить|akka rupesi kiisselia keittämään
|s. dem.|akaine|(B) akain'e|жёнушка, бабочка|akkanen, akkaseni||||||
baboi, buab|s. dem.|baba|bab/a, -an, -ad; -oid|бабушка|mummo, isoäidin puhuttelunimi||||||
buab; liipak|s. dem.|baboi|babo/i, -in, -id; -loid|бабушка; бабочка|isoäiti, mummo; perhonen||||||
|s.|bagr|bagr, -an, -ad; -oid|багор|keksi, haka||||||
|a.|baibunu|baibunu, -den|усталый, утомлённый|väsynyt, uupunut|(Td) sanui hän baibunudell iänel|сказал он утомлённым голосом|sanoi hän väsyneellä äänellä|||
|v.|baibuda|(Td) baibu/da, -n, -in||||||||
bakinbard|s. mon.|bakad|(B) bakad|баки|poskiparta||||||
bard|s. yhd.|bakinbard|(B) bakim/bard|бакенбарды|poskiparta||||||
bual, pido, pruaznik|s.|balu|(N) balu, -n, -d|бал|pidot, juhla, tanssijuhla|(N) luod'ittai balu|организуют бал|järjestetään pidot|||
|s.|bank I|(N) bank, -an|банк|pankki|(N) lähten mina kaz'onnijai bankai |пойду я в казённый банк|lähden minä valtionpankkiin|||
|s.|bant|ban/tt, -tan, -ttad; -toid|бант|nauhamerkki||||||
kühläz|s.|bapk|bapk, -an, -ad; -oiden, -oid|бабка; суслон, бабка из снопов|kuhilas (lyP); nilkkaluu (lehmän)||||||
|s.|barbaz|barba/z, -han, -st; -hiden, -hid|палец ноги|varvas||||||
|v.|bardauzuda|bardeuzu/da, -un, -uin|обрасти бородой|parroittua||||||
bardakaz|a.|bardikaz|bardi/kaz, -kkahan, -kast; -kkahid|бородатый|parrakas||||||
|s.|barhat|barha/t, -tan, -ttad; -toid|вельвет|sametti||||||
|s.|bariš|bari/š, -šan, -ššad; -šoiden, -šoid|прибыль|voitto (kaupassa)||||||
ruag, oks, oksaine, vicc|s.|barb|barb, -an, -ad; -oiden, -oid|прут, ветка (тонкая), вица|varpa, varpu|(B) hoikaine oks on barb|тоненькая ветка - это вица|varpu on hyvin ohut oksa|||
|s.|bard|bard, -an, -ad; -oiden, -oid|борода|parta; kirveen silmänpielus||||||
|s.|bark|bar/kk, -kan, -kkad; -koid|барка|lotja||||||
batog|s. dem.|batogaine|batoga/in'e, -ižen, -št; -ižid|палочка|keppi (pieni)||||||
kepp, pualik, savak|s.|batog|batog, -an, -ad; -oiden, -oid|палка, батог|keppi||||||
|s.|barbik|bar'bi/k ~ -kk, -kon, -kkod; -koiden, -koid|кустарник|varvikko||||||
|s.|balkon|balkon ~ balhon, -an, -ad; -iden, -id|балкон|parveke||||||
selgparz'|s.|balk|bal/k ~ -kk, -kan, -kkad; -koid|балка|parru, kannatushirsi, niskahirsi||||||
|s.|bembel|bembel', -in, -id; -iiden, -iid|дуга|vemmel, luokki||||||
|s.|bezmen'|bezmen', -in, -id; -iid, -iiden|безмен|puntari||||||
|s.|belm|bel'm, -an, -ad; -oid|бельмо|silmäkaihi||||||
|s.|bes'otk|bes'otk, -an, -ad; -oid|бесёдка, сиденье (извозчика)|istuinlauta (kuskin)||||||
|s.|bibu|bibu, -un, -ud; -uiden, -uid|рычаг|vipu (kätkyen)||||||
hädä, gor'a, ozatuz, pahamiel', vahing|s.|bied|(B, N) bied ~ (N) bed/a, -an, -ad|беда|onnettomuus, vahinko, hätä, pula||||||
pagenu|s.|biegloi|biegli/i, -an, -ad; -jöid; (B) biegloi|беглый, дезертир|sotilaskarkuri, paennut sotamies||||||
