Synonyymit|Määrittely|kirjalyydi|Murremuoto|Venäjännös|Suomennos|1. esim.|1. esim:n venäjännös|1. esim:n suomennos|2. esim.|2. esim:n venäjännös|2. esim:n suomennos
|v.|abidoita|abidoi/ta, -čen, -čin; -ččou; -dau|обижать|loukata||||||
|s.|abid|abid, -ad|обида|pahamieli, murhe||||||
|s.|abu|abu, -d|помощь|apu||||||
|s. yhd.|abunik|abun'i/k ~ -kk, -kan, -kkad; -koid|помощник|auttaja||||||
|v.|abuttada|abu/ttada, -tan, -t'in; -ttau; -tettau|помогать|auttaa||||||
|s.|adam|adam, -ad|вид рыбной ловушки|otava||||||
|s.|adr|adr, -an, -ad; -oiden, -oid |плуг|aatra, sahrat, aura||||||
ei|kieltov. imperat.|ala II|ela, elgai, elgad|не|älä|ela kičkodelze!|не потягивайся!|älä kiskottele!|||
suarad|s. yhd. mon.|adransuarad|adran/suarad|развилье сохи|aatran hanko, auran puukaarukset||||||
|s. yhd.|adranpielus|adram/pieluz|колодка сохи|aatran kurki, auran kurki, sarvikko||||||
|s. yhd.|adranoja|adran/oja|оглобля сохи|aatran aisa, auran aisa||||||
|s. yhd.|adrvicc|adr/vičč |подтужина (в сохе)|aatran reisivitsa, auran reisivitsa||||||
|s.|adiv|ad'v, -on, -od; -oiden, -oid|гость (молодой)|vieraileva tyttö, vieraileva nuorikko||||||
|a. kar.|agd'atoi|agd'a/toin'e, -ttoman, -tošt; -ttomid |бесконечный|päätön, loputon||||||
lopp, n’okk, occ, piä|s.|agd'|agd', -an, -ad; -oiden, -oid|конец|pää (nuoran, kylän), loppu||||||
tuul'|s.|ahav|ahav|ветеная погода|ahava, tuulinen sää||||||
|v.|ahavoita|ahavoi/ta, -čen, -čin; -ččou|трескаться|ahavoida, tuulessa pitää||||||
|a.|ahtaz|ahta/z, -han, -st; -hiden, -hid|узкий, тесный|ahdas||||||
|v.|ahtada|aht/ada, -an, -oin|набивать, грузить|ahtaa (riihi)||||||
|v.|ahtištuda|aht'ištu/da, -n; -u, -i; -ttau, -t't'ii|становиться узким|tulla ahtaaksi, kutistua||||||
|s.|aidnik|aid'n'i/k, -kan, -kkad; -koid|ограждение|aituri (eläin), aitomus||||||
|s.|ait|ai/tt, -tan, -ttad; -toiden, -toid|амбар|aitta||||||
|s. yhd.|aidanvier|aidan/vier, -vieron, -vierod; -vieroiden, -vieroid|сорона забора|aitavieri||||||
|a.|aigahk|aigahk|рановатый|varhaanlaista, hiukan aikaista||||||
|a.|aigaine|aiga/in'e, -ižen, -št; -ižiden, -ižid|ранний|aikainen, varhainen||||||
aigoiš|adv.|aigoin|aigoin|давно|varhain||||||
|adv.|aigotelti|aigottel'd'i|временами, иногда|ajoittain||||||
aino|a.|ainag|ainag, -on, -god; -goiden, -goid|единственный|ainoa||||||
mela|s.|air|air, -on, -od; -oiden, -oid|весло|airo||||||
|s.|aid|aid, -an, -ad; -oiden, -oid|забор|aita||||||
|s.|aiž|aiž, -an, -ad; -oiden, -oid|оглобля|aisa||||||
|s.|ailaz|aila/z, -han, -st; -hid|колючая боль|pistävä kipu||||||
|a. kar.|akatoi|aka/toin'e, -ttoman, -tošt; -ttomid |неженатый|akaton||||||
|s. yhd.|akkluad|akk/luad|женский|naispuolinen||||||
|s.|ambar'|ambar', -in, -id; -iid|амбар|vilja-aitta, piha-aitta||||||
|s.|ambund|ambund, -an, -ad; -oid|стрельба|ammunta, ampuminen||||||
|v.|ambuda|ambu/da, -n, -in; -u; -tau|стрелять|ampua|(N) strela ambuu|молния бъёт|salama iskee|vuapsahain' ambuu|оса жалит|vaapsahainen pistää
|adv.|amu|amu|давно тому назад|kauan sitten||||||
|a.|amuine|amu/in'e, -ižen, -št; -ižiden, -ižid|старый, долговечный|vanha, pitkänaikuinen||||||
|v.|amulta|amul/ta, -dan, -žin; -ttau, -t't'ii|черпать|ammentaa||||||
|s.|andelij|andel'i/i, -jan, -jad; -joid|щедрый|antelija||||||
|s.|anhel'|an'hel', -in, -id; -iiden, -iid|ангел|enkeli||||||
|s.|anup|ano/pp, -pen, -pped; -ppid |тёща|anoppi, vaimon äiti||||||
|v.|anta|an/tta, -dan, -ndoin; -ndau, -ndoi|давать; выделять|antaa; erittää|(B) kivi üöl higestuu, andau mehen|камень ночью потеет, выделяет влагу|kivi yöllä hiestyy, erittää kosteutta|||
|v.|anta||||(B) anduoi spassibon|он поблагодарил|(hän) kiitti|||
|v.|anta||||(B) spassibot anttau ižandale|благодарят хозяина|lausutaan kiitokset isännälle|||
|v.|anta||||anda maidot' t'ilkain'e!|дай молока глоточек!|anna tilkkanen maitoa!|||
|s.|app|app, apen, apped; appid |тесть|appi, vaimon isä||||||
|s.|ard|ard, ardon, ardod; ardoiden, ardoid|жердь|riuku, kuivauspuu (nuotan, vaatteiden)||||||
|a.|argehin'e|argehi/n'e, -žen, -št;  -žid|скоромная пища|paastona kielletty, paaston aikana kielletty ruoka||||||
|v. frekv. refl. |armasteltakse|armastel/zetta, -zen, -žin; -zou|заниматься любовью|rakastella||||||
|v. frekv.|armastelta|armaste/lda, -len, -l'in|заниматься любовью, ласкаться|rakastella, hyväillä, helliä||||||
|s.|armastuz|armastuz|любовь|rakkaus||||||
|v.|armastada|arma/stada, -stan, -št'in; -stetau, -stet't'ii|любить|rakastaa||||||
|a.|armaz|arma/z, -han, -st; -hiden, -hid|любимый, дорогой|rakas||||||
|s.|arttel'|art'el', -in, -id; -iid|артель|joukko||||||
|v.|arvanzoittada|arvanzoi/ttada, -tan, -t'in; -ttau, -t't'i; -tetau|загадывать|arvuuttaa||||||
|s.|arvanduz|arvandu/z, -ksen, -st; -kšid |загадка|arvoitus||||||
|v.|arvata|arva/ta, -dan, -žin; -tau|угадывать|arvata, ennustaa||||||
|s.|arššin|aršin, -an, -ad; -noid|аршин|arssina||||||
|a.|arg I|arg, -an, -ad; -oiden, -oid|робкий|arka||||||
|s.|arv|arv, -on, -od|цена, стоимость|hinta, arvo||||||
|s.|as|as, asan, assad; asoid|аз|aakkonen||||||
|adv.|astudi|astud'i|пешком|astuen, jalkaisin, jalan||||||
|s.|astužnik|astužn'i/k ~ -kk, -kan, -kkad; -koid|пешеход|jalkamies||||||
|v.|astuda|astu/da, -n, -in; -tau|вставать, ходить|astua, kulkea||||||
|s.|avadim|avad'i/m, -men, -nd; -mid|ключ|avain||||||
|v.|avaita|avai/tta, -dan, -žin|открывать|avata||||||
|v.|aveta|ave/ta, -nou, -n'; -tau, -t't'ii|открываться|aueta||||||
|adv.|avoin|avoin|открытый|auki||||||
|v. frekv.|azetelta|aze/telda, -ttelen, -ttel'in|ругать, порицать|haukkua, moittia||||||
|v.|azettuda|aze/ttuda, -tun, -tuin|изменить жизнь|anttua, muuttua tavoiltaan||||||
|s.|azrag|azrag, -an, -ad; -goid|трезубец|ahrain||||||
|s.|al'l'i|al'l'i, -n, -d; -iden, -id|морянка|alli (vesilintu)||||||
seibaz, ruag|s. yhd.|andinruag|an'd'ii/ruag|шест для подачи сена|teräväkärkinen seiväs, jolla nostetaan lyhteitä kekoon||||||
|s.|astij|ašč, -an, -ad; -oiden, -oid|сосуд|astia||||||
a, ka|konj.|ažno|ažno|ажно, а, но|mutta, vaikka, kuitenkin, sittenkin||||||
|postp.|al|al|под|alla, alta, alle||||||
|adv.|alahakkali|alahakkal'i|внизу|alhaalla, alhaattain||||||
|adv.|alahaks|alahakš|вниз|alas||||||
|adv. yhd.|alahanpiä|alaham/päi|снизу|alhaalta||||||
|adv.|alahan|alahan|внизу|alhaalla||||||
|a. kar.|alastoi|alašto/in'e, -ižen, -št; -ižid |голый|alaston||||||
|adv.|alasti|alašt'|голышом|alastomana||||||
|s.|alaine|ala/in'e, -ižen, -št; -ižiden, -ižid|варежка|villakinnas||||||
|a.|alav|ala/u, -van, -vad|низкое место, водное место|alava, vesinen (paikka)||||||
|v.|aleuzuda|aleuzu/da, -u, -i|обнижаться|alentua||||||
aleta|v.|alenzoittada|alenzoi/ttada, -tan, -t'in|обнижать|alentaa, laskea alemmaksi, mataloittaa||||||
|v.|aleta II|ale/ta, -nen; -nou, -n'; -tau|понижаться, снижаться, опускаться, спускаться; унижаться; униматься, успокаиваться (о погоде)|aleta, laskea, mataloitua, tyyntyä (sää)||||||
|s.|alust|alust, -an, -ad; -toiden, -toid |регион, район|vuori (vaatteessa), vuorikangas; alue, piiri||||||
|s.|alužim|aluži/m, -men, -nd; -miden, -mid|наковальня|alasin||||||
|v.|ajada|ajada, ajan, ajoin; ajau, ajoi; ajetau |ехать, водить|ajaa|"hebod ajades sanutau ""nu!"""|"погоняя лошадь говорят ""ну!"""|hevosta hoputetaan sanalla nu|aja šiiriči hänes!|проедь мимо него!|aja hänen ohitseen!
|v. frekv.|ajelta|aje/lda, -len, -l'in; -ldau|кататься|ajella|ajelda venehel|грести, кататься на лодке|soudella|||
|s.|akk|a/kk, -kan, -kkad; -koiden, -koid|жена, женщина|nainen, aviovaimo|saraffon da koht om puar akal|сарафан и кофта - костюм у женщины|feresi ja takki ovat naisten puhu|||
baboi, buab|s. dem.|baba|bab/a, -an, -ad; -oid|бабушка|mummo, isoäidin puhuttelunimi||||||
buab; liipak|s. dem.|baboi|babo/i, -in, -id; -loid|бабушка; бабочка|isoäiti, mummo; perhonen||||||
|s.|bagr|bagr, -an, -ad; -oid|багор|keksi, haka||||||
|s.|bant|ban/tt, -tan, -ttad; -toid|бант|nauhamerkki||||||
|s.|bapk|bapk, -an, -ad; -oiden, -oid|сноп|kuhilas||||||
|s.|barbaz|barba/z, -han, -st; -hiden, -hid|палец ноги|varvas||||||
|v.|bardauzuda|bardeuzu/da, -un, -uin|обрасти бородой|parroittua||||||
bardakaz|a.|bardikaz|bardi/kaz, -kkahan, -kast; -kkahid|бородатый|parrakas||||||
|s.|barhat|barha/t, -tan, -ttad; -toid|вельвет|sametti||||||
|s.|bariš|bari/š, -šan, -ššad; -šoiden, -šoid|прибыль|voitto (kaupassa)||||||
ruag, oks, oksaine|s.|barb|barb, -an, -ad; -oiden, -oid|прут, ветка (тонкая), вица|varpa, varpu|(B) hoikaine oks on barb|тоненькая ветка - это вица|varpu on hyvin ohut oksa|||
|s.|bard|bard, -an, -ad; -oiden, -oid|бородатый|parta||||||
batog|s. dem.|batogaine|batoga/in'e, -ižen, -št; -ižid|палочка|keppi (pieni)||||||
kepp, pualik, savak|s.|batog|batog, -an, -ad; -oiden, -oid|палка, батог|keppi||||||
|s.|barbik|bar'bi/k ~ -kk, -kon, -kkod; -koiden, -koid|кустарник|varvikko||||||
|s.|balkon|balkon ~ balhon, -an, -ad; -iden, -id|балкон|parveke||||||
selgparz'|s.|balk|bal/k ~ -kk, -kan, -kkad; -koid|балка|parru, kannatushirsi, niskahirsi||||||
|s.|bembel|bembel', -in, -id; -iiden, -iid|дуга|vemmel, luokki||||||
|s.|bezmen'|bezmen', -in, -id; -iid, -iiden|безмен|puntari||||||
|s.|belm|bel'm, -an, -ad; -oid|бельмо|silmäkaihi||||||
|s.|bes'otk|bes'otk, -an, -ad; -oid|беседка|istuinlauta (kärryissä)||||||
|s.|bibu|bibu, -un, -ud; -uiden, -uid|рычаг|vipu (kätkyen)||||||
|s.|biegloi|biegli/i, -an, -ad; -jöid|дезертир|sotilaskarkuri, paennut sotamies||||||
|s.|bies|bie/ss, -san, -ssad; -soiden, -soid|бес|piru||||||
|s. yhd.|birboivicc|birboi/vičč|верба|pajunoksa palmusunnuntain aikaan||||||
|s. yhd. mon.|birdanpiäližed|birdam/piäl'ižed|набилки, колодки (для бёдра)|luha (johon pirta on kiinnitetty)||||||
|s.|birboi|birboi, -n, -d, -kš|Вербное Воскресенье|palmusunnuntai||||||
|s.|bird|bird, -an, -ad; -oiden, -oid|бёрдо|pirta||||||
|s.|birb|bir'b, -in, -id; -iiden, -iid|спица|virpi, pikilanka||||||
|v.|bladarida|bladar'i/da, -n, -u|болтать|lörpöttää||||||
|s.|blokk|blo/k ~ -kk, -kan, -kkad; -kkid|блочок|väkipyörä||||||
|v.|bludida|blud'i/da, -n, -in; -tau, -t't'ii|блудить|harjoittaa huoruutta||||||
|v.|bobaštada|bobaš/tada, -tan, -t'in|играть игрушками|leikkiä lekkikaluilla||||||
|s.|bobul'|bobul', -in, -id; -iid|малоимущий|loinen, maaton||||||
|s.|bobr|bobr, -an, -ad; -id|бобёр|majava||||||
|s.|bohastv|bohastv, -an, -ad|богатство|rikkaus||||||
bohat|a. komp. dem. |bohatembaine|bohatemba/in'e, -ižen, -št;  -ižid|обогащаться|hiukan rikkaampi||||||
|s.|bohatter'|bohattir', -in, -id; -iid|богатырь|väkevä sankari||||||
|a.|bohat|boha/t, -tan, -ttad; -toiden, -toid|богатый|rikas||||||
|v.|bohattuda|boha/ttuda, -tun, -tuin|обогатеть|rikastua||||||
|a.|boič|boi/čč, -čan, -ččad; -ččid|умелый, искусный|taitava, terhakka, sukkela, ketterä||||||
|s.|bordovič|bordovi/č ~ -čč, -čan, -ččad; -čoid|мозоль|syylä, käsnä||||||
|adv.|borččah|borčaa|в борьбу|painimaan||||||
|v.|borčuita|borčui/da, -čen, , -čin|бороться|painia, painiskella||||||
|s.|bošak|boša/k ~ -kk, -kan, -kkad; -koid|баран|pässi||||||
|s.|bolozn'|bolozn', -in, -id; -iid|мозоль|liikavarvas, muhkula, rakko, känsä||||||
|s.|boba|boba, -an, -ad; -iden, -id|игрушка|leikkikalu||||||
|s.|bokk|bo/k ~ -kk, -kan, -kkad; -kkiden, -kkid|бок, сторона|kylki, sivu||||||
|s.|bokko|bo/kko, -kon, -kkod; -koiden, -koid|баран|oinas, pässi||||||
|v.|brakuita|brakui/da, -čen, -čin|браковать|hyljeksiä, valita hyljeksien, valikoida||||||
|s.|bratan|bratan, -an, -ad; -noiden, -noid|двоюродный брат|serkku||||||
|s. mon.|bratanaksed|bratana/ksed, -kšiden, -kšid|двоюродные братья и сёстры|serkukset||||||
|v.|bringuttada|bringu/ttada, -tan, -t'in; -ttau, -t't'i|брызгать, брызгаться|heilutella (jalkojaan), lykkiä vettä (toisen päälle uidessa)||||||
|s.|britv|britv, -an, -ad; -oid|бритва|partaveitsi||||||
|v.|bringaita|bringai/tta, -dan, -žin; -ttau|обливать|lykätä vettä (toisen päälle), sinkauttaa, heilauttaa||||||
|v.|briedida II|bried'i/dä, -n, -in|бриться|ajaa partaa||||||
|v.|brodida|brod'i/da, -n, -in|бродить|kahlata, kulkea (vedessä, liassa)||||||
|s.|brošk|brošk, -an, -ad; -id|брошка|solki||||||
nuot|s.|brodu|brodu, -n, -d; -id|невод (летний); топкое место|kesänuotta (pieni); upottava kohta (suossa)||||||
|adv.|brät|brät|едва|tuskin, hädin||||||
|v.|brötkäda|brötk/ädä, -etäu ~ -etäü|топтаться в грязи|kahlailla liassa||||||
|s.|bubn'|bubn', -in, -id; -iid|бубен (в картах)|ruutu (pelikorteissa)||||||
|konj. yhd.|buitoku|buito/kui|как будто|ikäänkuin||||||
|s.|bumag|bumag, -an, -ad; -oid|бумага|paperi||||||
|s.|buol|buol, -an, -ad; -iden, -id|брусника|puolukka||||||
|s.|buravčik|buravči/k, -kan, -kkad; -koid |буравчик|näveri||||||
virš|s.|burak|bura/k ~ -kk, -kan, -kkad; -koid |корзина, туес|kori, pärekoppa, tuohikoppa, tuohiastia||||||
|s.|burlak|burla/k ~ -kk, -kan, -kkad; -koid|бурлак|muualla ansioilla oleva||||||
puzu|s.|bučč|bučč, bučin, buččid; bučiid |бочка; туес|tynnyri, tiinu, sammio; maitopusu, maitopytty||||||
|s.|butk II|but'k, -en, -ed; -iden, -id|зонтичное растение, дудка|putkikasvi (syötävä)||||||
|s.|buvalštin|buval'ščin, -an, -ad; -oid|бывальщина|kertomus omista matkoista ja elämästä||||||
|s. dem.|bul'kuine|bul'ku/in'e, -ižen, -št; -ižid|прищик|näppylä (märkivä), paise (pieni)||||||
|s.|bul'boi|bul'boi, -n, -d; bul'bagoid|кувшинка |lumme (valkea)||||||
|s.|bul'k|bul'/k, -kun, -kkud; -kuiden, -kuid|нарыв, фурункул, прищ|paise, näppylä||||||
|s. yhd.|bäigöihein|bäigöi/hein'|ромашка|päivänkakkara||||||
|v.|bäigüda|bäigü/dä, -u, -i; -täu|блеять|määkiä||||||
|||||||||||
|s.|bl'uod|bl'uod, -an, -ad; -id|блюдо, глубокая тарелка, ваза|lautanen (syvä); vati, malja||||||
|s.|brüüt|br'üu/tt, -tün, -ttüd; -tüid|сосулька|jääpuikko||||||
|s.|buur|buur, -an, -ad; -iden, -id|сверло для бурения|kalliopora||||||
|v.|buuččida|buuč/čida, -in, -iin; -itau|стирать бельё|pestä pyykkiä, keittää lipeässä||||||
|v.|buurida|buur'i/da, -n, -in|бурить|porata kalliota||||||
|s.|buuk|buu/k, -kan, -kkad; -kkid|бельё|pyykki; pesusaavi||||||
|s.|best|bes'od, -an, -ad; -oid|танцы, вечеринка с танцами|illatsut, iltatanssit, tanssiaiset||||||
|s.|bladenč|blad'en'č, -an, -ad; -oid|младенец|vauva, kastamaton lapsi||||||
|s.|Blahviestind|blahveščen'd', -an, -ad; -oid|Благовещение Пресвятой Богородицы (25.3./ 7.4.)|Jumalansynnyttäjän Neitseen Marian ilmestysjuhla, marianpäivä (25.3./ 7.4.) ||||||
|v.|blažida|blaži/da, -n, -iin; -žitau|болтать|lörpötellä, puhua joutavia||||||
|v.|d'auhoda|d'auho/da, -n, -in; -tau |молоть|jauhaa||||||
|part.|davai|davai|давай|anna (mennä)||||||
|s.|diezd|(B, Td) d'iezd, -an|наказание проигравшему в городки, езд|rangaistus kyykkäpelissä||||||
diezdad|adv.|diezdal|d'iezdal|рысью|ravia|d'iezdal d'uoksou hebo hüvin|лошадь хорошо бежит рысью|hevonen juoksee ravia hyvin|||
diezdal|adv.|diezdad|(N) d'iezdad|рысью|ravia||||||
saraidiezd, saraipordahad, saraisiezdahad, saraisild, siezdad, siezdahad|s. mon.|diezdad|d'iez/dad, -doid|заезд на сеновал, пандус|sarajan silta, navetan parven silta, tallin ylisen portaat||||||
diezdad, saraidiezd, saraisiezdahad, saraisild, siezdad, siezdahad|s. yhd. mon.|saraipordahad|(B) sarai/pordahad|заезд на сеновал, пандус|sarajan silta, navetan parven silta||||||
diezdad, saraipordahad, saraisiezdahad, saraisild, siezdad, siezdahad|s. yhd.|saraidiezd|(Td) sarai/d'iezd|заезд на сеновал, пандус|sarajan silta, navetan parven silta||||||
diezdad, saraidiezd, saraipordahad, saraisiezdahad, siezdad, siezdahad|s. yhd.|saraisild|(N) sarai/s'iud|заезд на сеновал, пандус|sarajan silta, navetan parven silta||||||
|s.|diäd'|d'iäd'/ö, -än ~ -ön,  -äd ~ -öd; -öid|дядя|eno, setä||||||
|s.|diävida|d'iävi/dä, -n, -in|сообщить|ilmoittaa||||||
|v.|dogadida|dogad'i/da, -n, -in|заметить|huomata||||||
|v. refl.|dogadidakse|dogad'i/zetta, -zen, -ime; -zou|догадываться|hoksata||||||
|v.|d'ohottada|d'oho/ttada, -ttau, -t't'i|шипеть|kohista, suhista, lorottaa, tohottaa||||||
matk, tie|s.|dorog|dorog, -an, -ad; -oid|дорога, путь|tie, matka|en'd'išt dorogad müö mända|идти по прежней дороге|mennä entistä tietä|||
külläl, lienou|adv.|dovolno|dovol'no|довольно|kylliksi||||||
|s.|drobovik|drobovi/k ~ -kk, -kan, -kkad; -koid|дробовик|haulikko||||||
|s.|drobu|drobu, -n, -d; -id|дробь|hauli||||||
|s.|droččida|droč/čida, -in, -iin; -itau|ласкать, называть ласкательно|hyväillä, kutsua hyväilynimellä||||||
|s. yhd.|dročindnimi|dročind/n'imi|ласкательное имя|hyväilynimi||||||
|s.|druažittada|druaži/ttada, -tan, -t'in|раздражать|härsyttää||||||
|adv.|druk|druk|вдруг, внезапно|yhtäkkiä, äkkiä||||||
|s.|drušk|drušk, -an, -ad; -id|шафер, дружка|sulhaspoika, sulhasen sukulainen häissä||||||
|s.|druug|druug, -un, -ud; -uid|любовник, любовница; друг|rakastaja, jalkavaimo, jalkamies; ystävä||||||
|a.|dubovoi|dubovi/i, -an, -ad|дубовый|tamminen, tammi-||||||
|s.|dudu|dudu, -n, -d; -id|дуда|nokka (teekannun)||||||
|s.|durak|dura/k, -kan, -kkad; -koid|дурак|hölmö||||||
|a.|d'uurikaz|d'uur'i/kaz, -kkahan, -kast; -kkahid|корнистый|juurekas, runsasjuurinen||||||
|s.|dušnik|dušn'i/k ~ -kk, -kan, -kkad; -koid|душник|pyöreä reikä (uunissa)||||||
|v.|dügeta II|duge/ta, -nou, -n'|стать тяжелее|tulla raskaammaksi||||||
|s. mon.|dvircad|dvircad|дверцы|uuninluukut, uuninsuupellit||||||
|s. yhd.|dägibuab|d'ägi/buab|баба-яга, яга-баба, ведьма|ilkeä nainen; noita-akka, syöjätär||||||
|s.|duub|duub, -an, -ad; -id|дуб|tammi||||||
|v.|duumaita|duumai/tta, -čen,  -čin|думать|ajatella, miettiä, arvella||||||
|v.|duurida|duuri/da, -n, -in|играть, дурачиться|telmiä, olla vallaton, leikkiä||||||
|s.|duuh II|duuh, -un, -hud|дух, запах|henki, haju||||||
|s.|d'abluk|d'ablu/k ~ -kk, -kan, -kkad; -koid|яблоко|omena||||||
|s.|d'agarduz|d'agardu/z, -ksen, -st; -kšid |пробор|jakaus (päässä)||||||
|v.|d'agarta|d'agar/tta ~ -ta, -dan; -tau|делать пробор|tehdä tukkaan jakauksia, livoilla hiuksia veitsellä täitä etsiessään||||||
|v. refl.|d'agadakse|d'agaze/tta, mon. 3. pers. -ttau, -t't'ii|размежеваться|jakautua, tehdä jako||||||
|v. refl.|d'aksadakse|d'aksaze/tta, -n, d'aksoime|раздеваться|riisuutua||||||
|v.|d'aksada|d'aks/ada, -an, -oin; -etau, -et't'ii|раздеть|riisua||||||
|v.|d'aksattada|d'aksa/ttada, -tan, -t'in|раздевать|riisua vaatteet toiselta||||||
|v.|d'amoda|d'amo/da, -n, -in; -tau|соединять сети|jamoa, liittää yhteen kaksi havasta tai verkkoa||||||
|v.|d'atkada|d'atk/ada, -an, -oin; -etau, -et't'ii|продлевать|jatkaa, pidentää||||||
|v.|d'atkattada|d'atka/ttada, -tan, -t'in; -tettau|продлевать|jatkattaa, antaa jatkaa|ei d'atkatettu|(они) не продлили|ei jatkatettu|||
|s. yhd.|d'auhondkivi|d'auhond/kivi|жерновой камень|jauhinkivi||||||
|v.|d'auhottada|d'auho/ttada, -tan, -t'in|молоть|jauhattaa||||||
|s.|d’aššik|d'ašči/k ~ -kk, -kan, -kkad; -koid|ящик|kärryjen laatikko||||||
