hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1||||||||||
anup|anoppi (LMS 10)|s.|аноппи|теща|anoppi|||||||||||||||
app|appi (LMS 10)|s.|аппи|тесть|appi|||||||||||||||
arbuuz|arbuze|s.|арбузэ|арбуз|vesimeloni|||||||||||||||
ardeh|ardeh (LMS 10)|s.|ардэ|клад|aarre|||||||||||||||
arest|arestu|s.|аресту|арест|pidätys|||||||||||||||
armaz|armas (LMS 11)|a.|армас|милый, дорогой|armas|||||||||||||||
aršin|aršin (LMS 11)|s.|аршин|аршин|arsina|||||||||||||||
artut’|artut'|s.|артуть|ртуть|elohopea|||||||||||||||
astuv|astu/u, -van (LMS 11)|s.|асту|борона|äes, karhi|||||||||||||||
astijad|ast'aid (LMS 11)|s. mon.|астяйт|посуда|astiat|||||||||||||||
astuda||v.||||astun (LMS 12)|астун|иду|astun|||||||||||
astuvoita||v.||||astuvoičen|aстувойчен|бороню|äestän|||||||||||
atkal|atkal (LMS 13)|adv.|аткал|скучно|ikävää|||||||||||||||
avadim|avadin (LMS 13)|s.|авадин|ключ|avain|||||||||||||||
azbuk|azbukke|s.|азбуккэ|азбука|aakkoset, aakkosto, aapinen, aakkoset|||||||||||||||
azuda||v.||||loukot azuta(h)|локот азута|выдалбливают, делают дыру|reiät tehdään|||||||||||
bank|banke (LMS 14)|s.|банкэ|банка (стеклянная)|tölkki, purkki|||||||||||||||
bapk|bapke|s.|бабкэ|бабка (игра)|papukkapeli|||||||||||||||
baraban|baraban|s.|барабан|барабан|rumppu|||||||||||||||
barb|barbe (LMS 14)|s.|барбэ|прут|virtsa|||||||||||||||
bard|barde (LMS 15)|s.|бардэ|борода|parta|||||||||||||||
bark|bark (LMS 15)|s.|баркэ|барка|lotja|||||||||||||||
bašlik|bašlikke (LMS 15)|s.|башликкэ|башлык|paslikka|||||||||||||||
bašmak|bašmak (LMS 15)|s.|башмаккэ|башмак|kenkä|||||||||||||||
belet|bilette|s.|билеттэ|билет|lippu|||||||||||||||
bembel|bembel (LMS 15)|s.|бэмбэлъ|дуга|vemmel|||||||||||||||
beregoita||v.||||bereguoičen|берегуйчен|берегу|suojelen|||||||||||
bes'otk|bes'otk (LMS 16)|s.|беседкэ|беседка|lehtimaja, huvimaja, kelkka|||||||||||||||
best|bes'od (LMS 16)|s.|бесёд|беседа|illanistujaiset, illatsut, iltamat; keskustelu |||||||||||||||
bied|biede|s.|биэдэ|беда|hätä, pula|||||||||||||||
biegloi|biegloi|s.||||biegloit|биэглойт|беглые|pakolaiset|||||||||||
bies|bies|s.|биэс|бес|piessa, pahahenki|||||||||||||||
blednoi|blednoi|a.|блэднуой|бледный|kalpea|||||||||||||||
blokk|blokke (LMS 16)|s.|блоккэ|блок|laatta|||||||||||||||
bl'uod|bl'uod (LMS 18)|s.|блюодэ|блюдо|vati|||||||||||||||
bl'uudečk|bl'uud'ečke (LMS 18)|s.|блюдэчкэ|блюдечко|teelautanen|||||||||||||||
bohat|bohatte (LMS 19)|a.|богаттэ|богатый|rikas|||||||||||||||
bohatter'|bohattir' (LMS 19)|s.|богаттыри|богатырь|jättiläinen|||||||||||||||
bohattuda||v.||||bohatun (LMS 19)|богатун|богатею|rikastun|||||||||||
bokaspiä|bokas/päi (LMS 19)|adv. yhd.|бокас-пия|сбоку|sivulta|||||||||||||||
boltaida||v.||||boltain|болтаин|болтаю (говорю)|rupattelen|||||||||||
borč||s.||||borčas olen|борчас олэн|борюсь|painin|||||||||||
boru|boru, -n, -d|s.||бор|männikkö|borus|борус|в бору|männikössä|||||||||||
bošš|bošši (LMS  20)|s.|бошши|баран|pässi|||||||||||||||
bramor’|bramori|s.|брамори|мрамор|marmori|||||||||||||||
bratan|bratan (LMS 21)|s.|братан|братан (RKS)|veikko|||||||||||||||
breidakse||v. refl.||||bredimös|бредимёс|бреюсь|ajan partaa|||||||||||
briha|briha (LMS 21)|s.|брига|парень|poika, nuorukainen|||||||||||||||
brihač|brihačču (LMS 21)|s.|бригаччу|мальчик|poika, poikalapsi|||||||||||||||
britv|britve (LMS 21)|s.|бритвэ|бритва|partaveitsi|||||||||||||||
brizguttada||v.||||brizgutan (LMS 21)|брызгутан|брызжу|räiskyn, roiskun, pirskun, pärskyn|||||||||||
brod'ag|brod'age (LMS 22)|s.|бродягэ|бродяга|kulkuri|||||||||||||||
bross|brosse (LMS 22)|s.|броссэ|пшено|hirssi|||||||||||||||
brükv|br'ukve (LMS 22)|s.|брюквэ|брюква|lanttu|||||||||||||||
buab|buabo (LMS 22)|s.|буабо|бабушка|mummo|||||||||||||||
bučč|pučči (LMS 25)|s.|пуччи|бочка|tynnyri|||||||||||||||
bukita||v.||||bukičen|букичен|бучу|pesen pyykkiä|||||||||||
buuk|buukku ~ buukk (LMS 25)|s.|буку|бук|pyykki, pesu; pesutiinu, pesusoikko|||||||||||||||
bulafk|bulafke (LMS 23)|s.|булавкэ|булавка|nuppineula|||||||||||||||
bulk|bulke|s.|булкэ|булка|vehnäleipä, pulla|||||||||||||||
bul'kada||v.||||bul'kau|булькау|булькает|solisee, pulpattaa, pulputtaa|||||||||||
bumag|bumag (LMS 23)|s.|бумаг|бумага|paperi|||||||||||||||
buol|buole (LMS 24)|s.|буолэ|брусника|puolukka|||||||||||||||
butilk|butilke (LMS 24)|s.|бутылкэ|бутылка|pullo|||||||||||||||
bäigüda||v.||||bäigüu (LMS 25)|бяйкяу|блеет (овца)|määkii, mäkättäää, määkyy|||||||||||
čainik|čainikke (LMS 439)|s.|чайниккэ|чайник|teepannu|||||||||||||||
čaju|čaju (LMS 439)|s.|чаю|чай|tee|||||||||||||||
čakata||v.||||čakkadan|чаккадан|браню|torun, nuhdelen, haukun|||||||||||
čakk|čakke (LMS 439)|s.|чаккэ|мошка|mäkärä|||||||||||||||
čakkado|čakkavo|s.|чаккаво|брань|kiroilu, kiroileminen, sadattelu|||||||||||||||
čašk|čaške (LMS 439)|s.|чашкэ|чашка|kuppi|||||||||||||||
čekad|čekad|s. mon.|чекат|чека|sokkanaulat|||||||||||||||
čepč|čepče (LMS 439)|s.|чепче|чепчик|naidun naisen päähine|||||||||||||||
černilad|černiläd|s. mon.|чернилят|чернила|muste|||||||||||||||
čiep|čieppi (LMS 440)|s.|чияппи|цепь|ketju|||||||||||||||
čiepiine|čiepiine (LMS 440)|s. dem.|чиэпийнэ|цепочка|pieni ketju|||||||||||||||
čihišta|čihi/šta, -žöu (LMS 440)|v.||шипеть|sihistä|čihižöu|чигижэу|шипит|sihisee|||||||||||
čirp|čirpi (LMS 442)|s.|чирпи|серп|sirppi|||||||||||||||
čisl|čisle|s.|числэ|число|luku|||||||||||||||
čistida||v.||||čistin|чистин|чищу (самовар)|puhdistan|||||||||||
čiučoi|čiučui (LMS 443)|s.|чиучуй|воробей|varpunen|||||||||||||||
čondžoi|čondžuoi (LMS 444)|s.|чёнжуой|блоха|kirppu|||||||||||||||
čotaida||v.||||čotain (LMS 445)|чотаин|считаю|lasken|||||||||||
čott|čotte (LMS 445)|s.|чоттэ|счет|helmitaulu, tili|||||||||||||||
cuar'|cuari (LMS 439)|s.|цари|царь|tsaari|||||||||||||||
čugun|čugun (LMS 436)|s.|чугун|чугун|valurauta, malmi|||||||||||||||
čukkel|čukkel'i|s.|чуккэли|нырок|narskut|||||||||||||||
čumučiučoi|čumu/čiučui (LMS 447)|s. yhd.|чуму-чиучуй|жаворонок|kiuru, leivonen|||||||||||||||
čunkad|čunkad|s. mon.|чункат|чунки|tappuravirsut|||||||||||||||
čupp|čuppu (LMS 447)|s.|чуппу|угол|nurkka, soppi|||||||||||||||
čurčettada||v.||||čurčettau|чурчеттау|журчит|lirisee, lorisee|||||||||||
čustvuida||v.||||čuvstvuin|чувствуин|чувствую|tunnen|||||||||||
d’agadakse||v.||||d’agamos|дягамос|делюсь|jaan (refl.)|||||||||||
d’algaine|d’algaine|s. dem.|дялгайнэ|ножка|jalka (pieni)|||||||||||||||
d’aššik|jaščikke|s.|ящиккэ|ящик|laatikko|||||||||||||||
d’ataž|etaž|s.|этаж|этаж|kerros|||||||||||||||
d’uri/šta||v.||||d'ürižen|дюрижэн|гремлю|kolisen, kalisen, rämisen|||||||||||
d'abluk|d'ablokke (LMS 26)|s.|дяблоккэ|яблоко|omena|||||||||||||||
d'ablukpuu|d'ablokke/puu|s. yhd.|дяблоккэ-пуу|яблоня|omenapuu|||||||||||||||
d'alg|d'alge (LMS 41)|s.|дялги|нога|jalka|||||||||||||||
dalganpohd’|d'algam/pohje|s. yhd.|дялган похье|стопа|jalanpohja|||||||||||||||
d'algatoi|d'algatuoi|a. kar.|дялгатуой|безногий|jalaton|||||||||||||||
d'amštik|jamščikke (LMS 95)|s.|ямщиккэ|ямщик|ajuri|||||||||||||||
d'armankad|jarmankad|s. mon.|ярманкат|ярмарка|markkinat|||||||||||||||
d'auh|d'auho (LMS 29)|s.|дяуго|мука|jauho|||||||||||||||
d'auhottada||v.||||d'auhotan (LMS 29)|дяуготан|мелю (муку)|jauhaa|||||||||||
died|diedo (LMS 30)|s.|диэдо|дед|vaari, isoisä, ukki|||||||||||||||
diel|dielo (LMS 30)|s.|диэло|дело|asia, työ, toimi|on dielot|он диэлот|есть дела (хлопоты)|on tekemistä|||||||||||
diividakse||v. refl.|||ihmetellä|divimös|дивимёс|дивлюсь|ihmettelen|||||||||||
divan|divan|s.|диван|диван|sohva|||||||||||||||
diä|d'iä (LMS 31)|s.|дия|лед|jää|||||||||||||||
diäd’|diädö (LMS 32)|s.|диядё|дядя|setä, eno|||||||||||||||
diäj|d'iäj|s.|дияй|остаток|jäännös|||||||||||||||
diäkker’|d'äkkeri (LMS 41)|s.|дяккэри|якорь|ankkuri|||||||||||||||
diävidakse||v. refl.|||esiintyä, ilmaantua, saapua paikalle|diävimös|дявимёс|являюсь|esiintyä, ilmaantua, saapua paikalle|||||||||||
d'aune|d'aune (LMS 29)|adv.|дяунэ|вслух, явно|ääneen|||||||||||||||
dobroi|dobruoi|a.|добруой|добрый|hyvä|||||||||||||||
d'ogi|d'ogi (LMS 33)|s.|дёги|река|joki|||||||||||||||
dorog|dorog (LMS 34)|s.|дорог|дорога|tie|||||||||||||||
d'orš|d'oršši, -n, -d (LMS 34)|s.|дёрши|ёрш|kiiski|||||||||||||||
dosk|doske|s.|доскэ|доска (грифельная)|taulu|||||||||||||||
d'oučim|d'oučen (LMS 35)|s.|дёученъ ~ дёучэнъ|лебедь|joutsen|||||||||||||||
drobu|drobu (LMS 35)|s.|дробу|дробь|haulit|||||||||||||||
droškad|droškad (LMS 35)|s. mon.|дрожкат|дрожки|ajurinrattaat|||||||||||||||
droždid|droždit ~ drožžit|s. mon.|дрожжит|дрожжи; опара|hiiva; hiivat|||||||||||||||
druug|druugu (LMS 36)|s.|другу|друг|ystävä|||||||||||||||
d'uadr|d'uadre|s.|дюадрэ|ядро|ydin|||||||||||||||
duavida||v.||||duavin (LMS 36)|дуавин|давлю, душу; мучу|painostan|||||||||||
dubin|dubin (LMS 36)|s.|дубин|дубина|nuija|||||||||||||||
d'upk|jupke|s.|юбкэ|юбка|hame|||||||||||||||
D'umal|n'umal (LMS 37)|s.|Нюмал|Бог|jumala|||||||||||||||
d'uoksendelta||v. frekv.|||juoksennellä|d'uoksendelen (LMS 46)|дюоксэндэлэн|бегаю|juoksentelen|||||||||||
d'uomine|d'uomine|s. dem.|дюоминэ|пойло|juoma|||||||||||||||
d'uomoi|d'uomoi (LMS 38)|s.|дюомуой|голубика|juolukka|||||||||||||||
d'uosta||v,||||d'uoksen (LMS 38)|дюоксэн|бегу|juoksen|||||||||||
durak|durakke (LMS 39)|s.|дураккэ|дурак|tyhmä, hullu|||||||||||||||
duub|duube (LMS 40)|s.|дубэ|дуб|tammi|||||||||||||||
duuh|duuhu (LMS 40)|s.|духу|запах|haju|||||||||||||||
duumaita||v.||||duumaičen (LMS 40)|думайчен|думаю, задумываюсь|ajattelen, vaivun ajatuksiini|||||||||||
duumaita||v.||||duumaičin (LMS 40)|думайчин|я вздумал|ajattelin, mietin|||||||||||
d'uur’|d'uuri (LMS 40)|s.|дюури|корень|juuri|||||||||||||||
dverčikad|dverčikät|s. mon.|дверчикят|дверцы|luukku, pelti|||||||||||||||
dvora|dvora|s.|двора|двор|piha|||||||||||||||
düged|d'üged (LMS 41)|a.|дюгэд|тяжелый|raskas, vaikea, painava|||||||||||||||
dürk|d'ürke (LMS 41)|a.|дюркэ|крутой (гора)|jyrkkä|d'ürkäd mäged|дюрькят мягэд|обвалы|jyrkät mäet|||||||||||
dürü|dürü|s.|дюрю|гром|jyrinä|||||||||||||||
düvä|d'üvä (LMS 41)|s.|дювя|зерно|jyvä|||||||||||||||
däič|d'äiče (LMS 41)|s.|дяйчэ|яйцо|muna|||||||||||||||
dälges|d'älges (LMS 42)|adv.|дялгэс|после|jälkeen|||||||||||||||
dänöi|d'änüöi (LMS 43)|s.|дянюёй|заяц|jänis|||||||||||||||
däred|d'äred (LMS 43)|a.|дярэд|толстый|paksu|||||||||||||||
därv|d'ärvi (LMS 44)|s.|дярви|озеро|järvi|||||||||||||||
eččida||v.||||ečin (LMS 51)|эчин|ищу|etsin|||||||||||
edel|edel (LMS 44)|adv.|эдэл|впереди, вперед (RKS)|edellä|||||||||||||||
eht|ehte (LMS 46)|s.|эхтэ|вечер|ilta|||||||||||||||
ehtida||v.||||ehtin (LMS 46)|эхтин|успеваю|ehtin|||||||||||
ekipaž|ekipaž|s.|экипаж|экипаж|ekipaasi, vaunut|||||||||||||||
ekzamen|ekzamen|s.|экзамен|экзамен|tentti|||||||||||||||
eläda||v.||||elän (LMS 475)|элян|живу|elän, asun|||||||||||
eläda||v.||||kala eläü|кала эляу|рыба плещется (играет)|kala elää|||||||||||
eläj|eläj|s.|эляй|житель|asukas|||||||||||||||
eländ|elände|s.|эляндэ|жизнь|elämä|||||||||||||||
eläv|eläu|a.|эляу|живой|elävä|||||||||||||||
endiželleh|endiželle (LMS 49)|adv.|эндижеллэ|по-старому|entisellään|||||||||||||||
fabrik|fabrikke|s.|фабриккэ|фабрика|tehdas|||||||||||||||
fater||s.||||toižele fatierale mänen|тойжэлэ фатиералэ мянэн|перебираюсь на другую квартиру|muutan toiseen asuntoon|||||||||||
ferezi|ferezi (LMS 52)|s.|ферези|сарафан|feresi|||||||||||||||
firkaida||v.||||firkain|фыркаин|фыркаю|pärskyn|||||||||||
fonar'|fonar'i (LMS 52)|s.|фонари|фонарь|lyhty|||||||||||||||
fufaik|fufaike|s.|фуфайкэ|фуфайка|pusero; toppatakki|||||||||||||||
funt|funtte (LMS 53)|s.|фунтэ|фунт|naula|||||||||||||||
furašk|furaške (LMS 53)|s.|фуражкэ|фуражка|lippalakki|||||||||||||||
gadaita||v.||||gadaičen (LMS 53)|гадайчэн|гадаю|povaan|||||||||||
garbal|garbalo (LMS 54)|s.|гарбало|клюква|karpalo|||||||||||||||
gazet|gazet (LMS 54)|s.|газеттэ|газета|sanomalehti|||||||||||||||
giir|giire (LMS 54)|s.|гирэ|гиря|punnus|||||||||||||||
giir'ad|giir'at|s. mon.|гирят|гири|punnukset|||||||||||||||
glaunoi|glavnuoi|a.|главнуой|главный|pää-|||||||||||||||
gnied|gniede|a.|гниэдэ|гнедой|ruunikko|||||||||||||||
golub|golub (LMS 55)|s.|голубъ|голубь|kyyhkynen|||||||||||||||
gorbul'|gorbul'i (LMS 55)|s.|горбули|горбыль, горб в тёсе (RKS)|pintalauta, kelles|||||||||||||||
gorelk|gorelke|s.|горелкэ|горелка|poltin|||||||||||||||
gornič|gorničče (LMS 55)|s.|горниччэ|комната|huone|||||||||||||||
gor'uita||v.||||gor'uičen (LMS 55)|горюйчэн|горюю|murehtia|||||||||||
gost’|gost’e (LMS 56)|s.|гостэ|гость|vieras|||||||||||||||
grafin|grafin (LMS 56)|s.|графин|графин|karahvi|||||||||||||||
grečč|grečču (LMS 56)|s.|греччу|греча|tattari, tatterisuurimot|||||||||||||||
gribad|gribad (LMS 56)|s. mon.|грибад|грибы|sienet|||||||||||||||
groba|groba (LMS 58)|s.|гроба|гроб|arkku, ruumisarkku|||||||||||||||
grošš|grošše (LMS 56)|s.|грошшэ|грош|puolen kopeekan raha, kopeekat|||||||||||||||
grozida||v.||||grozin (LMS 57)|грозин|стращаю|uhaan, uhkailen|||||||||||
gruboi|grubuoi|a.|грубуой|грубый|karkea, tökerö|||||||||||||||
grüüh|gr'uuhe (LMS 57)|s.|грюхэ|рюха|kyykkä|||||||||||||||
grätk|gr'atke|s.|грядкэ|грядка|kasvipenkki, penkki|||||||||||||||
guba|guba (LMS 57)|s.|губа|губа, залив|lahti|||||||||||||||
guik|guik/ke ~ kuik/ke, -an, -kad (LMS 57)|s.|гуйкэ|гагара|kuikka|||||||||||||||
gurb|gurbe (LMS 57)|s.|гурбэ|горб|kyttyrä|||||||||||||||
haikostada||v.||||haikostan (LMS 59)|гайгостан|зеваю|haukottelen|||||||||||
haiž|haižu (LMS 59)|s.|гайжу|вонь|löyhkä, lemu, haju|||||||||||||||
haižuda||v.||||haižun|гайжун|воняю|haisen|||||||||||
halat|halatte (LMS 59)|s.|халаттэ|халат|päällysvaate|||||||||||||||
halg|halgo (LMS 59)|s.|галго|полено|halko|||||||||||||||
halgaita||v. mom.||||halgaidan (LMS 59)|галгайдан|полю|kitken|||||||||||
halgedelta||v. frekv.||||halgedelen (LMS 60)|галгэдэлэн|лопаю|halkeilen|||||||||||
halgelmuz|halgelmas (LMS 60)|s.|галгэлмас|трещина|halkeama, railo|||||||||||||||
halgod|halgod (LMS 59)|s. mon.|галгот|дрова|halot|||||||||||||||
hall|halle|s.|галлэ|иней|halla|||||||||||||||
hambahaine|hambahaine|s. dem.|гамбагайнэ|зубчик|hampainen|||||||||||||||
hambahidend'uured|hambahiden/d'uuret|s. yhd.|гамбагидэн дюурет|корни зубов|hampaiden juuret|||||||||||||||
hambaz|hambaz (LMS 61)|s.|гамбас|зуб|hammas|||||||||||||||
hang III|hango (LMS 61)|s.|ганго|вилы|hanko, talikko|||||||||||||||
hanh|hanhi|s.|ганги|гусь|hanhi|||||||||||||||
hapanmaid|hapaim/maido (LMS 62)|s. yhd.|гапай-майдо|простокваша|viilipiimä|||||||||||||||
hapannu|hapannuh|a.|гапанну|гнилой|mädännyt|||||||||||||||
hapata||v.||||hapanen|гаппанэн|гнию|mätänen|||||||||||
harag|harakke (LMS 62)|s.|гараккэ|сорока|harakka|||||||||||||||
harakter’|harakteri|s.|карактэри|характер|tapa|||||||||||||||
harav|harav (LMS 62)|s.|гарау|грабли|harava|||||||||||||||
haravoita||v.||||haravoičen (LMS 62)|гаравойчэн|граблю (сено)|haravoin|||||||||||
hard’|hard’/e, -an, -ad (LMS 62)|s.|гардэ|грива; щеть |harja|||||||||||||||
hard’uz|harjuse|s.|гарьюсэ|хариус|harius|||||||||||||||
hard'uttada||v.||||hard'utan|ардютан|тарбаю|tarvon|||||||||||
haud|haud/e, -an, -ad (LMS 64)|s.|гаудэ|яма (могильная, RKS); пара (RKS), репа печеная|hauta; naurishaudikas|||||||||||||||
haug|haugi (LMS 64)|s.|гауги|щука|hauki|||||||||||||||
haukkuda||v.||||haukun (LMS 65)|гаукун|лаю|haukun|||||||||||
havad|havado (LMS 65)|s.|гаводо|мешок|säkki|||||||||||||||
hävittada|hävittäi (LMS 85)|v.||уничтожить,  избавиться|hävittää|pidäu kazakke hävittäi iäreh (LMS 85)||нужно избавиться от батрака|renki on toimitettava hengiltä|||||||||||
havu|havu|s.|гаву|хвоя; помело|havu; havuluuta|||||||||||||||
hebo|hebo (LMS 65)|s.|гэбо|лошадь|hevonen|paha hebo|пага гэбо|кляча, худая лошадь|huono hevonen|||||||||||
heboč|hebočču (LMS 66)|s.|гэбоччу|кобыла|tamma|||||||||||||||
heboč|hebočče (LMS 66)|s.|гэбоччэ|куманика|mesimarja, maamuurain|||||||||||||||
hein|heine (LMS 66)|s.|гэйнэ|сено|heinä|||||||||||||||
heittada||v.||||heitan (LMS 66)|гейтан|перестаю; снимаю (пальто)|lopetan; riisun|||||||||||
heng|hengi (LMS 68)|s.|гэнги|душа|henki, sielu|||||||||||||||
heng||s.||||henget virkada (LMS 491)|гэнгэть-виркада|божиться|vannoa|||||||||||
hengittada||v.||||hengitan (LMS 68)|гэнгитан|дышу|hengitän|||||||||||
hengästeltakse||v. frekv. refl. ||||hengästülemös|гэнгястюлемёс|вздыхаю|huokaisen|||||||||||
herneh|herneh (LMS 69)|s.|гэрнэ|горох|herne|||||||||||||||
herr|herre|s.|гэррэ|барин|herra|||||||||||||||
hiam|hiamai (LMS 69)|s.|гиамай|рукав|hiha|||||||||||||||
hiamad|hiamait (LMS 69)|s. mon.|гиамайт|рукава|hihat|||||||||||||||
hibd’|hibje (LMS 69)|s.|гибье|тело|ruumis|hibjat|гибят|тела|ruumiit|||||||||||
hieroda||v.||||hieron (LMS 70)|гиэрон|тру, втираю|hieron|||||||||||
higestuda||v.||||higestüin (LMS 70)|гигэстуйн|я вспотел|olen hiessä|||||||||||
higi|higi (LMS 70)|s.|гиги|пот|hiki|||||||||||||||
hiil’|hiili (LMS 72)|s.|гийли|уголь|hiili|||||||||||||||
hiir’|hiiri (LMS 73)|s.|гири|мышь|hiiri|||||||||||||||
hill'aižes|hil'l'aiže (LMS 71)|adv.|гилляйжэ|осторожно, тихо|hiljaa|||||||||||||||
himo|himo (LMS 71)|s.|гимо|охота (хочется чего-либо)||||||||||||||||
himoittada||v.||||himoitan (LMS 71)|гимойтан|желаю|haluan, toivon|||||||||||
hind|hinde (LMS 71)|s.|гиндэ|цена|hinta|||||||||||||||
hirnakoita||v.||||hirnakoiččou (LMS 71)|гирнакойчёу|ржет|hirnuu|||||||||||
hirv|hirvi (LMS 72)|s.|гирви|лось|hirvi|||||||||||||||
hmel'u|hmel'u (LMS 73)|s.|хмелю|хмель|humala|||||||||||||||
hobed|hobje (LMS 73)|s.|гобье|серебро|hopea|||||||||||||||
homeh|homeh (LMS 75)|s.|гомэх|плесень|home|||||||||||||||
horhottada||v.|||hohottaa|horhotan (LMS 75)|горготан|хохочу|hohotan|||||||||||
hristossida||v.||||hristosin (LMS 76)|христосин|христосуюсь|annan pääsiäissuudelma|||||||||||
huab|huabe (LMS 76)|s.|гуабэ|осина|haapa|||||||||||||||
huat|huatte|s.|хуаттэ|хата|mökki|||||||||||||||
huiged|huiged (LMS 77)|s.|гуйгед|стыд|häpeä|||||||||||||||
huiged|huiged (LMS 77)|adv.|гуйгед|стыдно|häpeä|||||||||||||||
hukk|hukke (LMS 78)|s.|хуккэ|волк|susi|||||||||||||||
huobaduz|huobavus (LMS 78)|s.|гуобадус|озимь|syysvilja|||||||||||||||
huogastuda||v.||||huogastun|гуогастун|отдыхаю|lepään|||||||||||
huogehemb|huogehembi (LMS 79)|adv. komp.|гуогэгэмби|дешевле|halvempi|||||||||||||||
huogiž|huogiš (LMS 79)|adv.|гуогиш|дешево|halvalla|||||||||||||||
huondez|huondez (LMS 80)|s.|гуондэс|утро|aamu|||||||||||||||
hura|hura (LMS 80)|a.|гура|левый|vasen|||||||||||||||
hurah|hurah (LMS 80)|adv.|гурах|налево|vasemmalle|||||||||||||||
hurale|hurale  (LMS 80)|adv.|гуралэ|налево|vasemmalle|||||||||||||||
hurst'|hurst'i (LMS 80)|s.|гурсти|припон (RKS)|säkkikangasmatto|||||||||||||||
huuled|huulet (LMS 81)|s. mon.|гуулэт|губы|huulet|||||||||||||||
hvataida||v.||||hvatain|хватаин|хватаю|otan kiinni|||||||||||
hüppida||v.||||hüpin (LMS 82)|гюпин|прыгаю; скачу|hypin|||||||||||
hüpästada||v.||||hüpästi|гюпясти|он впорхнул|pyrähti, lennähti|||||||||||
hüpästadakse||v. frekv. refl.||||hüpästimös (LMS 82) ~ hüpästimös|гюпястимёс|вздрагиваю|hähkähtän, säpsähtän, vavahtan|||||||||||
hüvä|hüvä (LMS 82)|adv.|гювя|хорошо, ладно|hyvin, sievästi, sopuisasti|||||||||||||||
hüübij|hüubi (LMS 82)|s.|гюуби|сова|pöllö|||||||||||||||
häkk|häkki (LMS 83)|s.|гякки|бык|härkä|||||||||||||||
häküttada||v.||||häküttäu (LMS 83)|гякюттау|у него грыжа|hänellä on tyrä|||||||||||
hämähäkk|hämähäkki (LMS 84)|s.|гямя-гякки|паук|hämähäkki|||||||||||||||
händ|hände (LMS 84)|s.|гяндэ|хвост|häntä|||||||||||||||
höšte|höšte ~ (Lm) höštö, -gen, -tte (LMS 86)|s.|гёште|навоз|lanta|höšteged ~ höštöged (LMS 86)||навозы|lannat|||||||||||
höštehang|höšte/hango|s. yhd.|гёштэ-ганго|вилы (навозные)|lantahanko|||||||||||||||
