suomi|lyydi|venäjä
huomio|huomaido|внимание
huomautus|huomaiduz|замечание
huutaa|kirguda|кричать
huuto, huutaminen|kirgund|крик
hääitku|miehele/mänend/virz’|свадебный плач
häät|suadib|свадьба
identiteetti|identitet|идентитет
ruumis; hipiä, iho|hibd’|тело; кожа (человека)
ikonostaasi|ikon/sein’|иконостас
inkerikko|ingerikoi|ижорец
inkeroinen|ižor|ижорский язык; ижора
inkerikkolainen|ižoralaine|ижорец; ижорский
internetti|inter/nuot|интернет
tekninen|tehnikalline|технический
tohtori|dohtur|доктор
lausuilla (itkuvirttä)|lugoitelta|причитывать
esittää itkuvirttä|lugoittada|причитывать
itkuminen, itku|itkend|плач
itä|liide|восток
itämerensuomalainen|baltijan/suomelaine|прибалто-финн; прибалтийско-финский
Itämeri|Baltik|Балтика, Балтийское море
itämurre|liide/pagin/luad|восточный диалект
Baltia|Baltij|Прибалтика
jne. (ja niin edelleen)|dme. (da muga edelleh) |и т. д. (и так далее)
jne. (ja niin edelleen)|jme. (ja muga edelleh)|и т. д. (и так далее)
joiku|d’oig|йоку, саамский напев
joko – tai|segi – segi|или – или
jonkinlainen|erahan/luaduine|
joutua|puuttuda|попасть
julkaisutoiminta|kird’oin/painamine|издательская деятельность
juutalainen|deurij|еврей
juutalainen|diudijalaine|иудей; иудейский
Juudea|Diudij|Иудея
järjestäjä|pidaj|распорядитель
järjestäjä|organizuiččij|организатор
järjestäminen; järjestäytyminen|organizuind|организация (процесс)
järjestäytyä|organizuitakse|организоваться, распоряжаться
järjestää|organizuita|организовать
järjestö|organizacij|организация
jäännös|dostal’|остаток
kansanomainen|rahvahan/luaduine|нарлдный, обычный
kansanperinne|rahvahan/perimuz|народная традиция
kansanryhmä|rahvaz/d’ouk|этническая группа
etninen ryhmä|etno/grupp|этническая группа
etnos|etnuz|этнос
kansanusko|rahvahan/usk|народное верование
kanta; korko|kand|основание; каблук
kapitalistinen|kapitalistahine|капиталистический
aate|idij|идея
kaskiviljelys|kasken/vierd|подсечно-огневое земледелие
kastaa|ristida|крестить
kastaa, ristiä; kastella|valattada|крестить; обливать
kaste, ristiminen; kastelu|valatuz|крещение; обливание
kasvot; verinahka|iho|лицо; дерма
fiktio|fikcij|фикция, вымысел
kasvot; naama|roža|лицо; рожа
kaunokirjallisuus|fikcijan/literatuur|художественная литература
kaupanteko|torg|торг
kauppaneuvos|torgun/muaster’|коммерции советник
lehti; kausijulkaisu|leht’|газетаб периодическое издание
kautta|kauti|через
kasvatus; kehitys|kazvatuz|выращивание; воспитание; развитие
korjaus; kehitys|kohenduz|починка, ремонт; развитие
kasvattaa; kehittää|kazvattada|
korjata; kehittää|koheta|починить, отремонтировать; развивать
pyörä; kerho|kruug|круг, колесо; кружок, секция
sektio|sekcij|секция
kerho|kruugaine|кружок
kerrallinen|kierdalline|разовый
koti-|kodi-|домашний
kotikylä|kodi/külä|родная деревня
kesy jänis|kodi/dänöi|ручной заяц
kesy lintu|kodi/lind|ручная птица 
kotona oleva, kotimies|kodinik|домашний, живущий в доме
kerros|kierduz|слой
kerros|d’ataž|этаж
kerrata, toistaa; kyntää toistamiseen|kierdustada|повторять; пропахивать
kertautua, toistua|kierdustuda|повторяться
kertaus, toisto|kierdustuz|повторение, повтор; пропашка
kerrata (lankaa); kertoa|kierdata|вить (верёвку); умножать
kertaus (langan); kertolasku |kierdaduz|витьё (верёвки); умножение
kertosäe|kierdaduz/riäd|припев
kiistely, kiista; kilpailu|kiištand|оспаривание, спор; соревнование, соревнования, состязание
kiista; kilpailu|kiišt|спор, полемика; соревнование, состязание
kilpailu|kilb|соревнование
kilpailutoiminta|kiištand/ruadand|деятельность по организации соревнований
urheilutoiminta |sport/ruadand|спортивная деятельность
toiminta |ruadand|деятельность
kirjallisuus|literatuur|литература
kirjallisuus|kird’alližuz|литература
kirjasto|bibliotek|библиотека
kirjasto|kird’ašt|библиотека
kokous|kogoduz|собрание
kokous|kerag|собрание
kolminkertainen|kolme/kierdaine|тройной, трёхкратный, трёхразовый
konteksti|kontekst|контекст
teksti|tekst|текст
ahdas, tiukka|kinded|тесный
kontakti|kontakt|контакт
kotoperäinen|kodoilaine|отечественный, местный
kristillinen|ristalline|христианский
kristillinen|ristan/vierolline|христианский
kristinusko|ristan/vier|христианство
kulttuurinvaihto|kultuur/vajehtuz|культурный обмен
kulttuuriperintö|kultuur/perimuz|культурная традиция, культурное наследие
kunnia|kundij|слава
kuolinitku|kuolijan/virz’|плач по покойнику
kuvalehti|kuva/leht’|журнал
käsityö; askartelu, askare|käzi/ruad|ручная работа; рукоделие
käyttöönotto|pidelukseh/otand|применение
käytännöllinen|praktikalline|практический
käytäntö|praktik|практика
levy|lebu|пластина; пластинка, диск
levy|disk|диск
liivi, liivin kieli|liivi|ливский язык
loppu|lopp|конец
loppu, lopetus|lopind|окончание
loppusointu|rifm|рифм
luettelo|katalog|каталог, список
lupa|luba|разрешение
lujittua, vahvistua |lujeta|укрепляться
lujittaa, vahvistaa|lujeta|укреплять
lukusali|lugend/tila|читальный зал
luostari|manastir’|монастырь
lyydi, lyydin kieli|lüüdi|людиковский язык
katsominen; katse|kacund|взгляд
maailmankatsomus, maailmankuva|muailman/kacund|мировоззрение
kunnia; maine|sluav|слава
maine|čest’|честь
media|medij|медиа
luonne; itsepäisyys, sisu; tapa, tottumus, perinne, traditio; menetelmä|taba|характер; упрямство; способ; привычка, традиция; метод
menetelmä|metod|метод
merkkihenkilö|arv/person|важный человек
monikertainen|moni/kierdaine|многоразовый, многократный
peltohiiri|mua/hiir’|полевая мышь
hautajaiset|muahe/panend|похороны
hautajaisvirsi|muahe/panend/virz’|похоронный плач
muistajaiset|pominkad|понинки
muiston päivä, muistajaiset|muštin/päiv|день памяти; поминки
munkki|manah|монах
laatu, laji, muoto; tapa, menetelmä, luonne |luad|качество, вид, форма; способ, метод, характер
muoto; univormu|form|форма; униформа
museo|muuzij|музей
museo|muzeim|музей
museo, museosali|mušt/zual|музей, зал памяти
muisti; muisto|mušt|память
muisto|mušt’|память
muisti; muisto|puamät’|память
muusa|muuz, -an, -ad|муза
musiikki|muuzik|музыка
musiikkimuoto|muuzik/luad|музыкальная форма
muuttuminen, muutos|muutund|изменение
muuttuminen; taivutus|muuttumine|склонение, спряжение
muutos|muutuz|изменение
muuttua; taipua|muuttuda|склоняться, спрягаться
muuttaa; taivuttaa|muuttada|склонять, спрягать
myös|-gi |а также
myös|i|и
myös|mugažo|также
myös|sežo|тоже
neuvoa|nevvoda|советовать
näkökohta, näkökulma|kacund/koht|точка зрения, угол зрения
näytenumero|ozutuz/numer|пробный номер
olosuhteet|olod|условия
olosuhteet|olo/sideged|обстоятельства, условия
olo|olo|состояние
tila|tila|место; помещение; статус
oppi|opastund|учение
oppikirja|opastund/kird’|учебник
oppikirja|opastund/kniig|учебник
osoite|adrest|адрес
pakanallinen|paganalline |языческий
pakana|kiel’nik|язычник
osa : suuremmaksi osaksi, paljolti|vuit’ : suurembaks vuitikš|часть : большей частью 
johtaja : pankinjohtaja|ohd’adaj : bankan ohd’adaj|управляющий, руководитель, директор : директор банка
pankki|bank|банк
pankkikortti|bank/kart|банковская карта
painostus, paine; paino, julkaiseminen|painand|давление; вес, издательство
patriarkka|patriarh|патриарх
pelikenttä|kiža/tander|игровая площадка
urheilukenttä|sport/tander|спортивная площадка
jääkenttä|diäpeld|ледяное поле, каток
tanner, kenttä|tander|площадка, поле, утоптанное место
pelto; kenttä|peld|
perinnöllinen|perindahine|наследственный
puukiekko (leikkikalu)|kukerk, -on, -kod; -od, -oid |диск, шайба
kiekko; pyörä (ajoneuvon) |kiek, -on, -kod; -od, -oid |диск, шайба; колесо (транспортного средства)
perintö; perinnöllisyys|perind|наследие; наследственность
pohja, perusta; pohjoinen : perustaa|pohd’ : panda pohd’ale|дно, основание; север: основать
periä|perida|наследовать
periytyä|peridakse|наследоваться
perusta|fundament|фундамент
popmusiikki|popp/muuzik|попмузыка, попса
popularisoida|popul’arizuita|популяризировать
popularisointi|popul’arizuind|популяризация
presidentti|prezident|президент
puheenjohtaja (järjestön)|piä/miez|руководитель (организации)
puheenjohtaja (kokouksen)|paginan/vedaj|председатель (собрание)
puhelin|telefon|телефон
huoli; puuha|zobot|забота; беспокойство; занятие
huoli|huol’|забота; печаль, кручина
päämäärä|piä/miär|цель
tarkoitus; arvio, määräys|miäräduz|назначение; оценка, определение
päätoimittaja|piä/toimittaj|главный редактор
rakennus, asunto|huonuz|здание, жильё
ratifioida|ratificiiruita|ратифицировать
ratifiointi|ratificiiruind|ратификация
rekryytti|rekrut|рекрут
ristiminen; ristiäiset|ristind|крещение; крестины
ristiä|ristida |крестить
rituaali|ridual|ритуал
rituaalinen|ridualline|ритуальный
rivimies; tavallinen|riädühine|рядовой; обычный, заурядный
romaani|roman|роман
naama |nuam|рожа
ruhtinas|ruhtinaz|князь
sulhanen; ruhtinas|kniäz|жених; князь
rukous|malitv|молитва
rukoilu; rukous |molind|моление; мольба
vartalo, ruumis; vyötärö|rung|тело, туловище; талия
runoaarre|runo/ardeh|поэтическое сокровище 
runomuoto|runo/luad|стихотворная форма
runsaasti|äijäl|обильно
rytmi|ritm|ритм
saakka|sai|до
saame|saami|саамский язык; саами
saamelainen|saamilaine|саам; саамский
saarna|propoved’|проповедь
saatto, saattaminen|suatand|проводы, сопровождение, доставка
saattaa|suattada|сопровождать, провожать
saattaa, seurata; kadottaa|kaimata|провожать; потерять
saattoitku|suatand/virz’|плач на проводах
šamaani|šaman|шаман
šamanistinen|šamanistahine|шаманистический
sanomalehti|sanum/leht’|газета
sekä|dai|да и
selvittää, selittää|selgittada|объяснять
seura|siebr|общество
sihteeri|kird’an/vedaj|секретарь
sihteeri|sikretar’|секретарь
sihteeri|sikretan/vedaj|секретарь
salaisuus|sikret|секрет
Sisä-Venäjä|Sydäm-Venä|Средняя Россия
siunata|blahoslovida|благословлять
valaistus; sivistys|valgištuz|освещение; просвещение
slaavilainen|sluavilaine|славянин; славянский
solokkalainen|solofkalaine|житель Соловков; соловецкий
viisaus|mielevuz|мудростб
viisaus|viizahuz|мудрость
valamolainen|valamoilaine|житель Валаама; валаамский
arkkipiispa|arhijepiskop|архиепископ
metropoliitta|mitropolit|митрополит
piispa|jepiskop|епископ
sosiaalinen media, some|socialline medij|социальные медиа
sosiaalinen|socialline|социальный
sosialistinen|socialistahine|социалистический
sosialisti|socialist |социалист
kapitalisti|kapitalist |капиталист
sosialismi|socializm|социализм
kapitalismi|kapitalizm|капитализм
pääoma, kapitaali |kapital|капитал
kommuuni|kommun|коммуна
kommunismi|kommunizm|коммунизм
kommunisti|kommunist |коммунист
kommunistinen|kommunistahine|коммунистический
kommuuni-|kommunahine|коммунальный
side, suhde|side|связь, отношение
nähden, -sta, -stä|nähte|относительно, в сравнении
varten; nähden|niškoi|для
sukupolvi|sugu/polv|поколение
suomalais-ugrilaisuus|suomelaž-ugrilaižuz|финно-угорскость
suomalais-ugrilainen|suomelaž-ugrilaine|финно-угр; финно-угорский
taka-, syrjä-|taga-|задний, дальний
kärsivällisyys; suvaitsevaisuus|tirpand|терпение; терпимость
syrjäkylä|taga/kylä|глухая деревня
syväriläinen|syvärilaine|житель Свири; свирский
rivi; järjestys; säe|riäd|ряд, порядок; строка, стих
säe; pieni rivi|riädüine|строчка; рядок
sähköposti|elektro/pošt|электронная почта
sävel, sävelmä|melodij|мелодия, мотив
sääntö|siändüz|правило
tahto, toivomus|tahtond|желание, пожелание
talous|talohuz|хозяйство; экономика
tapa, tottumus|maner|манера
tasavalta|taza/vald|республика
teatteri|tiatar|театр
työ; tehtävä|ruad|работа; задание
tiedotus|informacij|информация; уведомления
info, tiedotus|info|инфо
media, tiedotusväline|medij|медиа
tietokanta|tied/kand|база данных
tietäjän, loitsu-|tiedohine|знахарский
toimikunta|ruad/kund|комиссия, комитет
toimitusjohtaja|ruadon/ohd’adaj|директор-распорядитель
toistaa|toštada|повторять
toistua|toštuda|повторяться
tuomari|suudij|судья
tyyli|stiil’|стиль
työ|ruad|работа
työnteko, työskentely; toiminta|ruadand|работа, труд; деятельность
sammuva, uhanalainen|sambuj|затухающий, исчезающий
usein|puaksus|часто
usko|vier|вера
uskoa; luottaa|uskoda|верить; доверять
usko; uskonto|usk|вера; религия
uskominen; uskonto; luottamus|uskond|верование, вера; религия; доверие
uskominen; uskomus|uskomine|верование, поверье
uskonnollinen|vierolline|религиозный 
uskonnollisuus|vierolližus|религиозность
uskovainen |vierolaine|верующий
uudistaa|verestada|обновлять
uudistus|verestuz|обновление
reformi|reform|реформа
reformoida|reformoita|реформировать
reformointi|reformoičend|реформирование
reformaatio|reformacij|реформация
estää|estada|препятствовать, предотвращать
vaihtaa|vajehtada|менять
vaihto|vaijehtuz|смена
vaikka|hot|хотя, хоть
valtakunta, valtio|vald/kund|государство, держава
valtio|valdij|государство
valtiollinen|vald/kundalline|государственный
valtiollinen|valdijahine|государственный
vanhausko|staro/vier|староверие, старообрядство
vanhauskoinen|staro/vierolaine|старовер, старообрядец
varatuomari|vara/suudij|запасной судья
tuomio|suud|суд
tuomio|suudind|суд, судебный процесс
tuomita|suudida|судить
vatja|vadd’|водский язык; водь
venäjä|venä|русский, русский язык
vepsä|veps|вепский язык; весь
verkkojulkaisu|nuot/kird’utuz|электронная публикация
viro|viro|эстонский язык; Эстония
eesti|edesti|эстонский язык; Эстония 
takia, tähden, vuoksi, syystä|tähte|для, из-за
vuoropuhelu|vuor/pagin|диалог
vuoropuhelu; vuorovaikutus|dialog|диалог; взаимовлияние
väestö : väestöluettelo|eläjišt : eläjišton katalog|население : перепись населения
kahvila|kofijik|кафе
vähemmistökieli|vähembišt/kiel’|язык меньшинства
vähemmistö|vähembišt|меньшинство
yhteistoiminta|ühtes/ruadand|взаимодействие, стотрудничество
yhteistyö|ühtes/ruad|стотрудничество
yhteisöllinen|arttelline|артельный, коллективный
artteli; yhteisö|arttel’|артель, коллектив
yhteisöllisyys|arttelližuz|артельность, коллективность
yhteys; yhteisyys|ühtüz|связь; единство; общность
side, yhteys|side|связь, контакт
yhteystiedot|ühtüz/tiedod|контактные данные
yleensä, yleisesti|üleheze|вообще
yhteensä|ühteheze|всего
yhteensä|kaikked|всего
yli-insinööri|piä/inžiner|главный инженер
insinööri|inžiner, -an, -ad|инженер
ylläpitäminen|elos/pidand|содержание
ylläpitäminen|hengiš/pidand|содержание
ym. (ynnä muut, ynnä muuta)|jm. (ja muud)|и др. (и другие); и пр. (и прочее)
ym. (ynnä muut, ynnä muuta)|dm. (da muud)|и др. (и другие); и пр. (и прочее)
ja|ja|и
yritys|firm|фирма
ääninäyte|iänen/ozutuz|звуковой образец
kielennäyte|kielen/ozutuz|образец речи
näytös, näyte; näyttely|ozutuz|показ
